OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
4,21,ORISSA,6,KENDUJHAR,20,TELKOI (ST),4,KEONJHAR (ST),2104,,3.66148575551,0.26186113666,3587093,4643,9798,4064,2966,9378,5990,0,698,492,2568,0,0,1480,3201,1050,6,2643,0,849,0,0,0.414396344877331,0.334784105420113,0.377764609750217,0.37273882329464,-0.0329643561505351,-0.0115987653844059,18334,0.5115086724119123,0.3267153921675575,12987,0.0,0.0537460537460537,0.0378840378840378,0.1977361977361977,0.0,0.0,0.1139601139601139,0.2464772464772464,0.0808500808500808,0.0004620004620004,0.2035112035112035,0.0,0.0653730653730653,0.0,0.0,2016,-0.0064147759694606,-0.0320335065893309,0.3997885930064815,0.3238367810845375,0.367086016256265,0.360329940915108,15590,1182358
6,21,ORISSA,8,BALESHWAR,37,BASTA,6,BALASORE,2106,,1.75398916699,0.03880654806,402841,68261,26445,36781,65214,27810,36608,0,0,0,0,0,0,0,7,29,15,1690,0,11,5,162,0.660878109795447,0.599092155694962,0.211025605288885,0.225175984203815,-0.114665958736428,-0.0886547267436981,129632,0.2145303628733646,0.2823994075536905,1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003647733194372,0.0151120375195414,0.0078165711307972,0.8806670140698281,0.0,0.0057321521625846,0.0026055237102657,0.0844189682126107,2016,-0.104955583810806,-0.110165233682221,0.688801200570886,0.6322876065969469,0.262770169597335,0.294665589928627,34887,599285
5,21,ORISSA,7,MAYURBHANJ,31,UDALA (ST),5,MAYURBHANJ (ST),2105,,1.76994629727,0.05811612426,782457,2769,8167,6801,2287,8855,6428,0,0,1,38,0,0,131,1,9,1,2608,0,59,0,34,0.474255324854587,0.420123517513275,0.278144206727228,0.271920949220657,0.0230951724044856,0.0458693951368332,17570,0.5039840637450199,0.3658508821855435,2882,0.0,0.0,0.0003469812630117,0.0131852879944483,0.0,0.0,0.0454545454545454,0.0003469812630117,0.0031228313671061,0.0003469812630117,0.9049271339347676,0.0,0.020471894517696,0.0,0.0117973629424011,2016,0.0158824007958174,-0.0066973206218651,0.4837118188712724,0.433612063527107,0.301835501568963,0.300439283251762,13935,1134222
3,21,ORISSA,3,SAMBALPUR,16,RENGALI (SC),3,SAMBALPUR,2103,,2.7698832668,0.09568037962,1118117,22765,82852,93699,14285,88326,93846,0,0,206,100,0,0,29,41,422,53,3486,35,9,29,335,1.71793551178226,0.83011257648468,0.223112406242346,0.261364221572876,-0.0878969324454281,-0.0370184257626534,196457,0.4495945677680103,0.4776923194388593,4745,0.0,0.0,0.0434141201264488,0.0210748155953635,0.0,0.0,0.0061116965226554,0.008640674394099,0.0889357218124341,0.0111696522655426,0.734668071654373,0.0073761854583772,0.0018967334035827,0.0061116965226554,0.0706006322444678,2016,-0.0584020614624023,-0.104331783534387,1.6884991058133298,0.845669686794281,0.219470333383035,0.250570774078369,10411,2685246
3,21,ORISSA,4,DEBAGARH  *,19,DEOGARH,3,SAMBALPUR,2103,,3.64445376509,0.25213744912,3170285,17851,151807,131717,14554,156376,129225,0,316,966,1810,0,0,982,2106,709,69,4031,0,931,42,543,0.402134044816955,0.350101783871651,0.306307507337362,0.328666105866432,-0.0562858731535848,-0.0212012445554137,300155,0.5209841581849378,0.4305275607602739,12505,0.0,0.0252698920431827,0.077249100359856,0.1447421031587365,0.0,0.0,0.0785285885645741,0.1684126349460216,0.0566973210715713,0.0055177928828468,0.3223510595761695,0.0,0.0744502199120351,0.003358656537385,0.0434226309476209,2016,-0.0027646337402984,-0.0400766332181865,0.396599824984954,0.3390146046876909,0.289568131110593,0.298159718513489,10411,2685246
1,21,ORISSA,1,BARGARH  *,5,BHATLI,1,BARGARH,2101,,2.6634395357,0.1405586326,1832384,11640,61669,29654,12004,59650,30484,0,0,625,6,0,0,6,58,688,84,5358,0,3,9,132,0.510171575811203,0.40874171257019,0.273148071625945,0.285097032785416,0.0106900047284615,0.0482104383409023,102138,0.584013785270908,0.2984589476982122,6969,0.0,0.0,0.0896828813316114,0.0008609556607834,0.0,0.0,0.0008609556607834,0.0083225713875735,0.0987229157698378,0.0120533792509685,0.7688334050796384,0.0,0.0004304778303917,0.0012914334911752,0.0189410245372363,2016,0.0547201558947563,0.021120770764813,0.524057511687107,0.4208506569266315,0.244241478641762,0.253883898258209,31827,1155342
6,21,ORISSA,8,BALESHWAR,38,BALASORE,6,BALASORE,2106,,1.49825074253,0.03437562531,287114,81719,46521,57988,82423,40734,59030,0,0,0,0,0,0,0,3,104,19,1339,40,3,5,195,1.77001576612013,0.829655945301056,0.170671395891966,0.205095782876015,-0.0567716978341423,0.0197102501988411,182187,0.223583460949464,0.3240077502785599,1708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017564402810304,0.0608899297423887,0.0111241217798594,0.7839578454332553,0.0234192037470726,0.0017564402810304,0.002927400468384,0.1141686182669789,2016,0.02726393006742,-0.0396133665268584,1.76148771293012,0.8652216792106631,0.177415262141932,0.200427122414112,34887,599285
6,21,ORISSA,8,BALESHWAR,39,REMUNA (SC),6,BALASORE,2106,,1.96095262952,0.03895355793,445412,22547,27101,41277,24759,21886,41331,0,0,0,0,0,0,0,0,100,6,1652,9,0,11,153,1.69336840061678,1.08902704715729,0.209477482187975,0.224605426192284,-0.0147332646082175,0.0417362898588181,87976,0.2487723924706738,0.4697985814312994,1931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517866390471258,0.0031071983428275,0.8555152770585189,0.0046607975142413,0.0,0.0056965302951838,0.0792335577421025,2016,0.0391413010656834,-0.0145067591033203,1.6896611413856348,1.11367440223694,0.222466908677919,0.232364922761917,34887,599285
9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1871103,9577,93355,97522,7595,94341,97220,6,423,283,643,0,0,281,1263,414,54,3055,0,612,31,386,0.594214333142416,0.435845240950584,0.303826494382794,0.333222240209579,-0.0647422975996688,-0.0273382682353258,199156,0.4737040310108658,0.4881600353491735,7451,0.0008052610387867,0.0567709032344651,0.0379814789961079,0.0862971413233123,0.0,0.0,0.0377130586498456,0.1695074486646088,0.055563011676285,0.0072473493490806,0.4100120789155818,0.0,0.0821366259562474,0.0041605153670648,0.0518051268286136,2016,0.0079503692686557,-0.0394010251016115,0.5861818232491175,0.4332644194364545,0.297997620080397,0.310952395200729,199217,2071557
4,21,ORISSA,6,KENDUJHAR,21,GHASIPURA,4,KEONJHAR (ST),2104,,3.13324714048,0.11106655872,1505451,6618,15005,2145,6439,14230,2513,0,1,16,804,0,0,400,98,63,0,3879,5,236,0,8,0.555644056994769,0.375325500965118,0.317329663717955,0.300696820020676,0.0256131149592417,0.0557985492050648,23182,0.6138383228366836,0.10840307134846,5510,0.0,0.0001814882032667,0.0029038112522686,0.1459165154264972,0.0,0.0,0.072595281306715,0.0177858439201451,0.0114337568058076,0.0,0.7039927404718693,0.0009074410163339,0.0428312159709618,0.0,0.0014519056261343,2016,0.0392156578600407,0.0086705544297416,0.55835730915166,0.380618721246719,0.320993124808336,0.318272829055786,15590,1182358
