OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,21,ORISSA,1,BARGARH  *,2,BIJEPUR,1,BARGARH,2101,,2.38872123602,0.07952286315,1079224,6448,9101,161,7527,7362,231,0,0,57,0,0,0,6,3,3,0,3877,0,0,0,0,0.645190773051371,0.460190296173096,0.297312670436459,0.293993800878525,0.0148432333689059,0.059445608407259,15120,0.4869047619047619,0.0152777777777777,3946,0.0,0.0,0.0144450076026355,0.0,0.0,0.0,0.0015205271160669,0.0007602635580334,0.0007602635580334,0.0,0.9825139381652306,0.0,0.0,0.0,0.0,2016,0.047938859090209,0.0045756441878799,0.693018240494653,0.5154424607753755,0.273536759108651,0.26771005988121,31827,1155342
9,21,ORISSA,14,DHENKANAL,58,PARJANGA,9,DHENKANAL,2109,,2.46394245064,0.135877521,1825369,6835,24835,13870,12367,20894,11624,0,72,172,937,0,0,291,675,264,12,3975,0,306,1,27,0.651040440906709,0.49909345805645,0.346569817453159,0.339676022529602,-0.0268522459566693,-0.0070049804635345,44885,0.46550072407263,0.2589729308232149,6732,0.0,0.0106951871657754,0.0255496137849079,0.1391859774212715,0.0,0.0,0.0432263814616755,0.1002673796791443,0.0392156862745098,0.0017825311942959,0.5904634581105169,0.0,0.0454545454545454,0.0001485442661913,0.0040106951871657,2016,0.0135022383183241,-0.0140439833926481,0.6444315905469695,0.4950496703386305,0.328272493237174,0.324899882078171,199217,2071557
7,21,ORISSA,9,BHADRAK  *,44,BHADRAK,7,BHADRAK (SC),2107,,1.10921126598,0.02991867014,403951,5097,2894,12,3370,4585,15,0,0,0,0,0,0,0,0,0,0,1454,23,2,0,0,1.14730855565786,0.757079482078552,0.274798345861764,0.261939629912376,0.0131443935298129,0.0418677050620317,7970,0.5752823086574655,0.0018820577164366,1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830966869506425,0.015551048005409,0.0013522650439486,0.0,0.0,2016,0.0270489081740379,0.0046020613488099,1.17272696337755,0.8034762144088745,0.246507274411561,0.242437221109867,49355,546360
8,21,ORISSA,13,JAJAPUR  *,54,SUKINDA,8,JAJPUR (SC),2108,,1.79699040578,0.07448790052,982868,16374,19894,6511,17466,19706,4759,0,7,202,228,0,0,141,94,126,0,2796,22,54,2,14,4.25467724267246,1.18164074420929,0.298934672783694,0.273670852184296,0.0137236462523209,0.0521543249487877,41931,0.469962557534998,0.1134959814934058,3686,0.0,0.0018990775908844,0.0548019533369506,0.0618556701030927,0.0,0.0,0.0382528486163863,0.0255018990775908,0.0341833966359197,0.0,0.7585458491589799,0.005968529571351,0.0146500271296798,0.0005425935973955,0.0037981551817688,2016,0.0456785410642624,0.0134510703526494,4.3181919207994905,1.214472353458405,0.285945208502939,0.269682973623276,42022,1025647
3,21,ORISSA,15,ANUGUL  *,62,CHHENDIPADA (SC),3,SAMBALPUR,2103,,2.12662297611,0.09045617513,1226750,3637,10810,4298,3726,9695,3436,0,0,471,130,0,0,153,216,118,10,3149,23,221,1,1,1.61493263969027,0.600784182548523,0.32770708018564,0.319974601268768,-0.0143705055286335,0.0046210731379687,16857,0.5751319926440055,0.2038322358664056,4493,0.0,0.0,0.1048297351435566,0.0289338971733808,0.0,0.0,0.0340529712886712,0.0480747829957712,0.0262630758958379,0.0022256843979523,0.7008680169152014,0.0051190741152904,0.0491876251947473,0.0002225684397952,0.0002225684397952,2016,0.0323092862963676,0.0161525324169619,1.51933523473775,0.6052542924880979,0.287378138132341,0.286263704299927,10411,2685246
1,21,ORISSA,1,BARGARH  *,1,PADAMPUR,1,BARGARH,2101,,2.58174058039,0.1583645089,2156631,7188,14965,1699,7958,13916,1456,0,2,981,98,0,0,18,38,102,0,6580,13,20,0,0,0.428695786285179,0.359921306371689,0.323213656800373,0.311185032129288,0.0181958292583499,0.0463838540017605,23330,0.5964852121731676,0.0624089155593656,7852,0.0,0.0002547121752419,0.1249363219561895,0.0124808965868568,0.0,0.0,0.0022924095771777,0.0048395313295975,0.0129903209373408,0.0,0.8380030565461029,0.0016556291390728,0.0025471217524197,0.0,0.0,2016,0.0706326439976692,0.0472622022896295,0.442262044745147,0.3659743517637255,0.279844010607053,0.274062633514404,31827,1155342
10,21,ORISSA,23,SONAPUR  *,64,BIRMAHARAJPUR (SC),10,BOLANGIR,2110,,1.86132471504,0.11216300562,1433336,26336,57355,27341,16380,62313,31177,0,0,268,330,0,1,34,293,221,6,4228,0,90,65,23,0.509708080073667,0.426888585090637,0.307633527555993,0.307780891656876,-0.0462255467398914,-0.0002318168626516,109870,0.5671520888322563,0.2837626285610267,5559,0.0,0.0,0.0482101097319661,0.059363194819212,0.0,0.0001798884691491,0.0061162079510703,0.0527073214606943,0.0397553516819571,0.0010793308148947,0.7605684475625113,0.0,0.0161899622234214,0.0116927504946932,0.0041374347904299,2016,-0.0027141168247908,-0.0453080229962518,0.508823226704466,0.4274510741233824,0.298185975383077,0.300219550728798,109811,1544368
9,21,ORISSA,15,ANUGUL  *,60,TALCHER,9,DHENKANAL,2109,,1.24943871083,0.03893406997,496825,6613,23630,9027,7167,17203,6354,0,0,31,1,0,0,34,21,141,3,1543,93,34,0,28,4.17947977869176,1.98216390609741,0.223508720591509,0.238689452409744,0.0403762376550797,0.0591037422418594,30724,0.5599205832573884,0.206809009243588,1929,0.0,0.0,0.0160705028512182,0.0005184033177812,0.0,0.0,0.0176257128045619,0.0108864696734059,0.0730948678071539,0.0015552099533437,0.7998963193364438,0.0482115085536547,0.0176257128045619,0.0,0.0145152928978745,2016,0.0506404303014278,0.0251446903729826,4.1592941075733,2.038028001785275,0.222498858397224,0.236906558275223,199217,2071557
10,21,ORISSA,23,SONAPUR  *,65,SONEPUR,10,BOLANGIR,2110,,2.39060772295,0.09324710828,1233717,17935,26975,5312,9688,34062,5396,0,0,130,0,0,0,0,4,27,0,4405,12,29,19,0,0.699922411111197,0.521607935428619,0.301958310914033,0.301003217697144,-0.034607509556933,0.0238423850387335,49146,0.693077768282261,0.1097953037887111,4626,0.0,0.0,0.0281020319930825,0.0,0.0,0.0,0.0,0.0008646779074794,0.0058365758754863,0.0,0.9522265456117596,0.0025940337224383,0.0062689148292261,0.0041072200605274,0.0,2016,0.0224507320672274,-0.0353811858297819,0.704016159515821,0.5271095931529995,0.279182016429625,0.277833610773087,109811,1544368
8,21,ORISSA,13,JAJAPUR  *,53,KOREI,8,JAJPUR (SC),2108,,1.22641997313,0.03531378736,459329,13961,10250,2694,14678,8757,2354,0,0,0,0,0,0,0,0,2,0,1735,8,0,0,2,1.67329742046876,1.16040742397308,0.263862245322179,0.24081002175808,0.0425597656398404,0.0852204710245132,25789,0.3395633797355462,0.0912792275776493,1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011448196908986,0.0,0.993131081854608,0.0045792787635947,0.0,0.0,0.0011448196908986,2016,0.0832083337008953,0.0490021418184097,1.683065891342765,1.1795631349086748,0.239832335040003,0.226301655173302,42022,1025647
7,21,ORISSA,9,BHADRAK  *,46,DHAMNAGAR (SC),7,BHADRAK (SC),2107,,1.26338372194,0.03126423328,313950,81802,34584,109,92562,19659,105,0,0,0,0,0,0,0,0,0,0,1550,0,0,0,0,0.645594337143134,0.594959795475006,0.308890701218993,0.298424392938614,-0.0153237737890955,0.0070394915528595,112326,0.1750173601837508,0.0009347791250467,1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016,0.0012018994893878,-0.0210350774638069,0.674224526256189,0.6237687170505525,0.268532959091592,0.263107389211655,49355,546360
3,21,ORISSA,15,ANUGUL  *,63,ATHAMALLIK,3,SAMBALPUR,2103,,2.61138548172,0.22071648745,2967703,8472,45203,17702,3317,41631,17842,0,218,2996,1573,0,5,773,1276,138,1,3124,5,747,20,63,0.44013349313868,0.375029325485229,0.415829714343495,0.427109122276306,-0.0864835619813932,-0.0906795337796211,62790,0.6630195891065457,0.2841535276317885,10939,0.0,0.0199286954931895,0.2738824389797971,0.1437974220678307,0.0,0.0004570801718621,0.0706645945698875,0.1166468598592193,0.0126154127433951,9.141603437242891e-05,0.285583691379468,0.0004570801718621,0.0682877776762044,0.0018283206874485,0.005759210165463,2016,-0.0151838585734367,-0.0311404987909046,0.4382418394422365,0.369824096560478,0.335033950013727,0.332899436354637,10411,2685246
11,21,ORISSA,25,NUAPADA  *,71,NUAPADA,11,KALAHANDI,2111,,2.44654473281,0.17969002734,2405181,8807,46761,13406,16933,34243,5775,0,0,1730,0,0,0,28,992,427,4,5668,7,42,1,2,0.440983493147541,0.349641084671021,0.307430295502744,0.305596083402634,0.0484833125518633,0.0686482936143875,56951,0.601271268283261,0.1014029604396762,8901,0.0,0.0,0.1943601842489608,0.0,0.0,0.0,0.003145713964723,0.1114481518930457,0.0479721379620267,0.0004493877092461,0.6367823840017975,0.0007864284911807,0.0047185709470845,0.0001123469273115,0.000224693854623,2016,0.111398197710514,0.0933069590240142,0.450790815545529,0.358539551496506,0.25938324870837,0.258657544851303,56921,2474155
7,21,ORISSA,9,BHADRAK  *,47,CHANDABALI,7,BHADRAK (SC),2107,,1.32894827621,0.06058087723,469119,150932,180280,33837,204953,102793,35617,0,0,0,0,0,0,0,0,197,56,2640,0,0,14,102,0.633821654333045,0.406658083200455,0.212858729374601,0.226318396627903,0.0101707816501611,0.0671456679701805,343363,0.299371219380073,0.1037298718848565,3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654702558989697,0.0186108341641741,0.8773678963110668,0.0,0.0,0.0046527085410435,0.0338983050847457,2016,0.0538125596940517,0.004615491918105,0.648694622971789,0.429301276803017,0.190527731371246,0.202545262873173,49355,546360
10,21,ORISSA,24,BALANGIR,66,LOISINGHA (SC),10,BOLANGIR,2110,,2.52113374726,0.08726381644,1174138,13934,13161,225,10255,16095,301,0,0,75,0,0,0,24,3,6,0,4208,0,6,0,0,0.671482749709847,0.530311197042465,0.309559448403883,0.308856084942818,0.0226326784424989,0.0358752105385065,26651,0.6039173014145811,0.0112941353044913,4322,0.0,0.0,0.0173530772790374,0.0,0.0,0.0,0.0055529847292919,0.0006941230911614,0.0013882461823229,0.0,0.973623322535863,0.0,0.0013882461823229,0.0,0.0,2016,0.0423714369535446,0.0290929890023772,0.6764668248566286,0.544952094554901,0.275122508314436,0.27401502430439,109811,1544368
9,21,ORISSA,14,DHENKANAL,57,KAMAKHYANAGAR,9,DHENKANAL,2109,,2.00668751863,0.06295351526,806454,17949,31908,10497,23532,26468,7145,0,4,47,83,0,0,25,18,102,0,2688,3,101,10,36,0.955713018593148,0.740369975566864,0.299916156977052,0.289172917604446,0.0106744475697495,0.0421464405953884,57145,0.4631726310263365,0.1250328112695773,3117,0.0,0.0012832852101379,0.0150786012191209,0.0266281681103625,0.0,0.0,0.0080205325633622,0.0057747834456207,0.0327237728585178,0.0,0.8623676612127045,0.0009624639076034,0.0324029515559833,0.0032082130253448,0.0115495668912415,2016,0.0443969592452049,0.019288234818394,0.946760482865989,0.7414937168359754,0.281918915088416,0.283563762903214,199217,2071557
8,21,ORISSA,13,JAJAPUR  *,52,JAJPUR,8,JAJPUR (SC),2108,,1.17637097769,0.02487221812,302458,21486,15143,3398,26512,10133,2425,0,0,0,0,0,0,0,0,0,0,1220,15,0,0,3,1.23694440091101,1.01376396417618,0.316069784004937,0.313393026590347,-0.024716958173358,-4.13457710237708e-05,39070,0.2593550038392628,0.0620680829280778,1238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9854604200323102,0.0121163166397415,0.0,0.0,0.0024232633279483,2016,0.0104700364172459,-0.0152626936685157,1.239496083797085,1.0269607603549948,0.277664521469312,0.277975380420685,42022,1025647
8,21,ORISSA,13,JAJAPUR  *,51,DHARMASALA,8,JAJPUR (SC),2108,,1.26786439889,0.03334181319,398313,17857,39334,3578,31010,26914,3038,0,0,0,0,0,0,0,0,33,0,1600,0,0,9,13,1.29448666346981,1.0912778377533,0.287081678886012,0.27019689977169,-0.0028354178934722,0.0336659103631973,60962,0.4414881401528821,0.0498343230208982,1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199395770392749,0.0,0.9667673716012084,0.0,0.0,0.0054380664652567,0.0078549848942598,2016,0.0260643465444446,-0.0008844604754346,1.2768566981949,1.098652422428135,0.263777983125851,0.256153523921967,42022,1025647
10,21,ORISSA,24,BALANGIR,67,PATNAGARH,10,BOLANGIR,2110,,2.20172467739,0.16039031966,2189297,5804,12276,1091,5375,12079,1025,0,1,898,101,0,0,48,128,23,0,6711,3,39,0,0,0.49682149515466,0.391245484352112,0.329678639052579,0.320337995886803,0.0197585411012051,0.042552825063467,18479,0.6536609123870339,0.0554683695005141,7952,0.0,0.0001257545271629,0.1129275653923541,0.0127012072434607,0.0,0.0,0.0060362173038229,0.0160965794768611,0.0028923541247484,0.0,0.8439386317907445,0.0003772635814889,0.0049044265593561,0.0,0.0,2016,0.0641076751053333,0.0459762682622689,0.5085146339288165,0.401172637939453,0.287221135675728,0.281605541706085,109811,1544368
9,21,ORISSA,15,ANUGUL  *,61,ANGUL,9,DHENKANAL,2109,,1.57250154006,0.05306000665,724897,1976,3355,327,1750,3217,315,0,63,332,153,0,0,168,41,5,0,1765,17,83,0,0,1.8829976663826,0.89452737569809,0.354012720753451,0.338015377521515,-0.0503687595113371,-0.0278480742126703,5282,0.6090496024233245,0.0596365013252555,2627,0.0,0.0239817282070803,0.1263799010277883,0.0582413399314807,0.0,0.0,0.0639512752188808,0.0156071564522268,0.0019033117624666,0.0,0.6718690521507423,0.0064712599923867,0.031594975256947,0.0,0.0,2016,-0.0165477674454451,-0.032159961494552,1.838124983329845,0.90378338098526,0.318041836620655,0.311963587999344,199217,2071557
8,21,ORISSA,13,JAJAPUR  *,48,BINJHARPUR (SC),8,JAJPUR (SC),2108,,1.17271463284,0.0270387439,253813,40847,75793,1831,96533,17857,1220,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,1,0.776157953310758,0.67986673116684,0.349053271472584,0.340795382857323,-0.0441248937803869,-0.0165789285674691,115610,0.1544589568376438,0.0105527203529106,1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992498124531132,0.0,0.0,0.0,0.0007501875468867,2016,-0.0083238356746733,-0.036040851689391,0.787473190309746,0.709128484129906,0.299410743471838,0.295837819576263,42022,1025647
9,21,ORISSA,14,DHENKANAL,56,HINDOL (SC),9,DHENKANAL,2109,,1.90606416296,0.0986271906,1328472,3647,18740,7111,5538,16800,5265,0,8,635,200,0,0,315,44,15,1,3222,27,398,0,26,1.37956895015334,0.556539595127106,0.353868339398675,0.349633738398552,-0.0436829466221905,-0.0206544008105993,27603,0.6086294967938267,0.1907401369416367,4891,0.0,0.0016356573297894,0.1298303005520343,0.0408914332447352,0.0,0.0,0.0644040073604579,0.0089961153138417,0.0030668574933551,0.0002044571662236,0.6587609895726845,0.0055203434880392,0.0813739521570231,0.0,0.0053158863218155,2016,0.023464297875762,0.0065778551428806,1.38122231736291,0.5836388468742371,0.293630372461629,0.291419506072998,199217,2071557
9,21,ORISSA,14,DHENKANAL,55,DHENKANAL,9,DHENKANAL,2109,,2.10997449163,0.08932577061,1195371,12156,15117,7263,13831,14847,4468,0,82,640,107,0,0,77,15,67,0,3206,19,189,10,22,0.793478245851766,0.568174362182617,0.348835954373148,0.332368284463882,-0.036364801304606,-0.0084415394812822,33146,0.4479273517166475,0.1347975623001267,4434,0.0,0.0184934596301308,0.144339197113216,0.0241317095173658,0.0,0.0,0.0173658096526838,0.003382949932341,0.0151105096977898,0.0,0.7230491655390167,0.0042850699142986,0.0426251691474966,0.002255299954894,0.0049616599007668,2016,0.0221270080655813,-0.0036206501844583,0.802023026881004,0.5759087204933164,0.309061030210117,0.295995056629181,199217,2071557
13,21,ORISSA,22,BAUDH  *,86,BOUDH,13,KANDHAMAL,2113,,2.56482326002,0.14424276809,1901827,13423,50347,20467,8977,54670,19825,0,41,1725,1097,0,0,612,574,129,0,2637,5,222,54,60,0.409403922349423,0.343304574489594,0.375600835652737,0.375705555081367,-0.0666167056918263,-0.0535775125026703,83472,0.6549501629288863,0.2375047920260686,7156,0.0,0.0057294577976523,0.2410564561207378,0.1532979318054779,0.0,0.0,0.0855226383454443,0.0802124091671324,0.0180268306316377,0.0,0.3685019564002236,0.0006987143655673,0.0310229178311906,0.0075461151481274,0.0083845723868082,2016,-0.0269163949415088,-0.0433806271071261,0.4009180847675235,0.327971495687962,0.339207582469536,0.341592729091644,83481,1986064
13,21,ORISSA,22,BAUDH  *,85,KANTAMAL,13,KANDHAMAL,2113,,2.27869905262,0.12492885817,1658730,12245,34565,14556,8372,38409,13860,0,1,1469,99,0,0,266,249,71,0,3850,0,116,43,23,0.423935907493659,0.375931829214096,0.346181245243781,0.330562829971313,-0.0238357720473356,0.015466183423996,60641,0.633383354496133,0.228558236176844,6187,0.0,0.0001616292225634,0.2374333279456925,0.0160012930337805,0.0,0.0,0.0429933732018749,0.0402456764182964,0.0114756748020042,0.0,0.622272506869242,0.0,0.0187489898173589,0.0069500565702278,0.0037174721189591,2016,0.0256506130099297,-0.0004637891464978,0.418782418842717,0.3711302056908605,0.301404190734349,0.296913683414459,83481,1986064
8,21,ORISSA,13,JAJAPUR  *,49,BARI,8,JAJPUR (SC),2108,,1.19280212619,0.02385569435,261073,21578,42821,2979,52010,10267,1941,0,0,0,0,0,0,0,0,0,0,1179,0,0,0,7,0.785777994496165,0.723757356405258,0.386071089792066,0.384391844272614,-0.0918014749189274,-0.0781722366809845,64218,0.1598772929708181,0.0302251705129402,1186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940978077571668,0.0,0.0,0.0,0.005902192242833,2016,-0.0238036625087261,-0.0389143607664369,0.794009452606922,0.737157419323921,0.306443623310731,0.307080656290054,42022,1025647
15,21,ORISSA,10,KENDRAPARA *,98,AUL,15,KENDRAPARA,2115,,1.39109801783,0.04183570497,322892,156290,71098,25748,196584,16307,28406,0,0,0,0,0,0,0,0,79,13,1939,2,0,0,44,0.50287874220451,0.437942057847977,0.296684772690366,0.309544518589973,-0.0278573574672095,0.0244323387742043,241297,0.0675806164187702,0.1177221432508485,2077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380356283100625,0.006259027443428,0.933558016369764,0.0009629272989889,0.0,0.0,0.0211844005777563,2016,0.0061413741204887,-0.0364040163188476,0.51958830495479,0.457911975681782,0.26588183480954,0.27369199693203,251837,576028
10,21,ORISSA,24,BALANGIR,68,BOLANGIR,10,BOLANGIR,2110,,2.16721049648,0.08504471757,1157161,5320,7954,595,4069,8842,457,0,0,296,0,0,0,19,14,9,0,3841,10,27,0,0,0.874171480773718,0.470153152942657,0.323209119309021,0.31714440882206,0.0139003691946341,0.033443396911025,13368,0.6614302812687014,0.0341861160981448,4216,0.0,0.0,0.0702087286527514,0.0,0.0,0.0,0.0045066413662239,0.0033206831119544,0.002134724857685,0.0,0.9110531309297912,0.0023719165085388,0.006404174573055,0.0,0.0,2016,0.0397427305579185,0.0236450242963725,0.8866255497595315,0.48356693983078,0.292096495740371,0.288072198629379,109811,1544368
15,21,ORISSA,10,KENDRAPARA *,99,RAJANAGAR,15,KENDRAPARA,2115,,1.73980464103,0.06403348478,648648,64197,87682,81156,104533,29060,82653,0,60,0,1,0,0,0,0,453,347,2060,1,0,14,239,0.45852580474774,0.363266810774803,0.256152612059436,0.267284035682678,-0.0855674714118077,0.0226914696395397,216246,0.1343839886055695,0.3822174745428817,3175,0.0,0.0188976377952755,0.0,0.0003149606299212,0.0,0.0,0.0,0.0,0.1426771653543307,0.1092913385826771,0.6488188976377953,0.0003149606299212,0.0,0.0044094488188976,0.0752755905511811,2016,-0.0229115597903728,-0.100483667190377,0.4637459676446135,0.376400403678417,0.231842554091379,0.250313073396683,251837,576028
8,21,ORISSA,13,JAJAPUR  *,50,BARACHANA,8,JAJPUR (SC),2108,,1.33507429454,0.03268487535,407348,12349,29094,1251,30136,10048,1458,0,4,7,3,0,0,4,1,1,0,1581,0,17,0,8,1.04301664954409,0.848013639450073,0.296141235287526,0.275842040777206,0.0068018514078613,0.0436406191438437,41642,0.2412948465491571,0.0350127275347005,1626,0.0,0.002460024600246,0.0043050430504305,0.0018450184501845,0.0,0.0,0.002460024600246,0.0006150061500615,0.0006150061500615,0.0,0.9723247232472324,0.0,0.0104551045510455,0.0,0.004920049200492,2016,0.0375684332102537,0.0098698909675806,1.031522190060665,0.840914472937584,0.261391890744679,0.246091105043888,42022,1025647
15,21,ORISSA,12,CUTTACK,94,SALIPUR,15,KENDRAPARA,2115,,1.38006814098,0.03647380408,453178,14358,27634,7038,9966,30381,7879,0,1,2,4,0,0,1,0,17,0,1690,7,15,8,61,1.34291803602885,1.06996965408325,0.278147593453497,0.271753177046776,0.0058090648058617,0.0394499320536852,48226,0.6299713847302285,0.1633766018330361,1806,0.0,0.0005537098560354,0.0011074197120708,0.0022148394241417,0.0,0.0,0.0005537098560354,0.0,0.0094130675526024,0.0,0.9357696566998892,0.003875968992248,0.0083056478405315,0.0044296788482834,0.0337763012181616,2016,0.0170470019802451,-0.003441759305114,1.36463051246898,1.1071638464927651,0.270351935555841,0.269446775317192,251837,576028
14,21,ORISSA,12,CUTTACK,89,ATHAGARH,14,CUTTACK,2114,,1.82452453779,0.05468252955,712037,26419,9078,5366,21379,11024,5892,0,3,179,75,0,2,94,7,57,0,2128,10,128,4,29,1.20553179122728,0.885113209486008,0.345375599125164,0.333458811044693,-0.0384333755366585,-0.0186158511787653,38295,0.287870479174827,0.153858206032119,2716,0.0,0.0011045655375552,0.0659057437407952,0.0276141384388807,0.0,0.0007363770250368,0.0346097201767304,0.0025773195876288,0.0209867452135493,0.0,0.7835051546391752,0.003681885125184,0.0471281296023564,0.0014727540500736,0.0106774668630338,2016,0.0161153431981802,-0.0084718609613756,1.213906989950885,0.8946039974689486,0.304744330026145,0.290942654013634,41933,752900
15,21,ORISSA,10,KENDRAPARA *,97,KENDRAPARA (SC),15,KENDRAPARA,2115,,1.2058731288,0.02964847142,329725,33890,42893,1732,57793,12601,2142,0,0,0,0,0,0,0,0,0,0,1441,17,0,0,9,0.940647023119891,0.681743144989014,0.304307217630764,0.292003437876701,0.0029099566694485,0.0364799350500107,72536,0.1737206352707621,0.0295301643321936,1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9822767552828904,0.0115882753919563,0.0,0.0,0.0061349693251533,2016,0.004564260598272,-0.0178333998228261,0.921682187892502,0.6882713437080386,0.273841634935746,0.268669202923775,251837,576028
15,21,ORISSA,12,CUTTACK,95,MAHANGA,15,KENDRAPARA,2115,,1.2147703079,0.02894665636,370668,7364,18009,2517,16421,7994,3175,0,0,0,0,0,0,0,0,0,0,1411,0,0,1,17,0.995042461377912,0.923878371715546,0.332082504413393,0.339284792542458,-0.0496027891869823,-0.0381243098527193,27590,0.2897426603841971,0.115077926785067,1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98740377886634,0.0,0.0,0.0006997900629811,0.0118964310706787,2016,-0.0311298836022615,-0.0441512017552649,0.994091460803241,0.920078665018082,0.293786279058919,0.297595888376236,251837,576028
13,21,ORISSA,21,KANDHAMAL,84,PHULBANI (ST),13,KANDHAMAL,2113,,3.31115440364,0.22137554754,3040143,883,4875,2230,1393,4591,1602,0,26,1508,3507,0,0,2887,2322,79,0,472,13,147,4,0,0.370099739836164,0.334772408008575,0.433124722969961,0.447839468717575,-0.0942176765282268,-0.108211480081081,7586,0.6051937780121276,0.2111784866860005,10965,0.0,0.0023711810305517,0.1375284997720018,0.3198358413132695,0.0,0.0,0.2632922936616507,0.2117647058823529,0.0072047423620611,0.0,0.0430460556315549,0.0011855905152758,0.013406292749658,0.0003647970816233,0.0,2016,-0.0607277341187,-0.0640126817198682,0.3597827132731175,0.317799761891365,0.371003423293879,0.373722672462463,83481,1986064
15,21,ORISSA,10,KENDRAPARA *,96,PATKURA,15,KENDRAPARA,2115,,1.48959021049,0.03091998105,379667,15355,27868,2844,30336,10794,3235,0,0,0,0,0,0,0,0,0,0,1527,0,0,0,5,0.762094920737736,0.721512734889984,0.317850461145074,0.312510594725609,-0.027151462192979,-0.0011806166730821,44365,0.2432998985686915,0.0729178406401442,1532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967362924281984,0.0,0.0,0.0,0.0032637075718015,2016,-0.0329999662935734,-0.046211900658948,0.7705536663823485,0.7222769558429716,0.301965267828057,0.303449079394341,251837,576028
14,21,ORISSA,12,CUTTACK,87,BARAMBA,14,CUTTACK,2114,,1.59136064912,0.08756866476,1122571,30769,39488,12895,14772,55277,12096,0,0,822,321,0,19,481,167,250,0,2096,0,68,36,74,0.492325295343025,0.363146543502808,0.394035575791218,0.407522112131119,-0.0772993002608548,-0.0775453820824623,82145,0.6729198368738207,0.1472518108223263,4334,0.0,0.0,0.1896631287494231,0.0740655283802492,0.0,0.0043839409321642,0.1109829257037378,0.0385325334563913,0.057683433317951,0.0,0.4836179049377019,0.0,0.0156898938624826,0.0083064143977849,0.0170742962621135,2016,-0.012071824632585,-0.0232196958749217,0.4845160413554875,0.363798946142197,0.316770162255559,0.327391028404236,41933,752900
14,21,ORISSA,12,CUTTACK,91,CHOUDWAR-CUTTACK,14,CUTTACK,2114,,0.4674931875,0.00757366091,90261,5966,5901,2173,7963,4342,1544,0,0,0,0,0,0,0,0,15,0,314,36,0,0,11,3.75782991513882,2.54945707321167,0.262206810789173,0.253577530384064,0.0020632909163297,0.0338057093322277,13849,0.3135244421979926,0.1114881940934363,376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398936170212766,0.0,0.8351063829787234,0.0957446808510638,0.0,0.0,0.0292553191489361,2016,0.0369604378938675,-0.0035568459639863,3.716130763058875,2.49219834804535,0.253975832073352,0.240369021892548,41933,752900
10,21,ORISSA,24,BALANGIR,70,KANTABANJI,10,BOLANGIR,2110,,2.52850057811,0.11865324682,1612539,6737,12021,2429,5882,12091,1873,0,0,408,2,0,0,13,134,12,1,5208,17,76,1,0,0.534732590397523,0.422275021672249,0.309711402465271,0.306679099798203,0.0399504591575477,0.0553384404629469,19846,0.6092411569081931,0.0943767005945782,5872,0.0,0.0,0.0694822888283378,0.0003405994550408,0.0,0.0,0.0022138964577656,0.0228201634877384,0.0020435967302452,0.0001702997275204,0.8869209809264306,0.0028950953678474,0.0129427792915531,0.0001702997275204,0.0,2016,0.0719856098294258,0.05790827584254,0.56673571116516,0.4493293389678,0.270011886422805,0.266929894685745,109811,1544368
