OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
14,20,JHARKHAND,4,HAZARIBAG,21,BARHI,14,HAZARIBAGH,2014,Pre delimitation,2.12880995623,0.10526575674,1183179647.0,16673,32584,17928,0,0,951,53,23,281,849,46,2973,2,14,5,15,1.14979114829178,0.852613747119904,-0.116822983172217,-0.112388614565134,0.394111768300975,0.409162789583206,67185,0.4849892089007963,0.2668452779638312,5212,0.0,0.0,0.1824635456638526,0.0101688411358403,0.0044128933231005,0.053914044512663,0.1628933231005372,0.008825786646201,0.5704144282425173,0.0003837298541826,0.0026861089792785,0.0009593246354566,0.0028779739063699,2019,-0.0040173411834985,-0.0260489307867376,0.987731961716222,0.716263294219971,0.310071484031101,0.310791164636612,67094,67095
2,20,JHARKHAND,11,DUMKA,7,SIKARIPARA (ST),2,DUMKA (ST),2002,Pre delimitation,2.32012196138,0.1035338562,1164873640.0,5718,10765,260,0,0,279,28,136,132,9,0,4477,0,60,0,2,0.526214281550976,0.481191605329514,-0.0306609565320872,0.0002135925606125,0.352456251379117,0.34039893746376,16743,0.6429552648868184,0.015528877739951,5123,0.0,0.0,0.054460277181339,0.0054655475307437,0.0265469451493265,0.0257661526449346,0.0017567831348819,0.0,0.8739020105406988,0.0,0.0117118875658793,0.0,0.0003903962521959,2019,0.0407107658684254,0.0081125154778914,0.432454278550275,0.380513608455658,0.284709228910711,0.269191741943359,2076,2076
4,20,JHARKHAND,3,CHATRA,27,CHATRA (SC),4,CHATRA,2004,Pre delimitation,2.37874930363,0.16291878101,1832009215.0,3627,5358,235,0,0,1271,0,17,999,447,0,5298,17,23,0,0,0.472619027999,0.391399368643761,-0.10292971549736,-0.110490269958973,0.337330133703762,0.341845154762268,9220,0.5811279826464208,0.0254880694143167,8072,0.0,0.0,0.1574578790882061,0.0,0.0021060455896927,0.1237611496531219,0.0553766105054509,0.0,0.6563429137760158,0.0021060455896927,0.0028493557978196,0.0,0.0,2019,0.0225161053240299,0.0045436208266532,0.358088605260052,0.290579065680504,0.317332770946897,0.31527453660965,9180,9176
13,20,JHARKHAND,1,GARHWA,77,BISHRAMPUR,13,PALAMU (SC),2013,Pre delimitation,0.87347498231,0.03622153828,406994060.0,8571,26437,3789,0,0,9,0,0,0,136,0,1617,0,0,30,0,0.47859899414276,0.444542482495308,-0.0820372770410495,-0.0764179043471813,0.339288072500614,0.351909190416336,38797,0.6814186663917313,0.0976621903755445,1792,0.0,0.0,0.0050223214285714,0.0,0.0,0.0,0.0758928571428571,0.0,0.90234375,0.0,0.0,0.0167410714285714,0.0,2019,0.0028454487910494,-0.0256388060914051,0.323742764680449,0.297837048768997,0.285742143602038,0.285286128520966,41645,41647
2,20,JHARKHAND,11,DUMKA,10,DUMKA (ST),2,DUMKA (ST),2002,Pre delimitation,1.99793470046,0.08104347961,911958456.0,13382,40831,23870,0,0,182,2,45,20,96,31,3526,21,28,6,66,0.890726118041497,0.618582248687744,-0.0459554039483028,-0.0056944689713418,0.326191312533733,0.344794511795044,78083,0.5229179206741544,0.305700344505206,4023,0.0,0.0,0.0452398707432264,0.0004971414367387,0.0111856823266219,0.0049714143673875,0.0238627889634601,0.0077056922694506,0.8764603529704201,0.0052199850857568,0.0069599801143425,0.0014914243102162,0.0164056674123788,2019,0.0524764135479927,0.0162316289063586,0.794155464959281,0.505889058113098,0.274219221622769,0.272916585206985,2076,2076
13,20,JHARKHAND,1,GARHWA,81,BHAWANATHPUR,13,PALAMU (SC),2013,Pre delimitation,2.41643685202,0.13915030612,1564706368.0,10605,24718,6993,0,0,256,10,16,29,169,0,6374,16,0,37,0,0.428996345613808,0.394167393445969,-0.0753032596675334,-0.0726341158151627,0.392137102124902,0.396554529666901,42316,0.584128934681917,0.1652566405142263,6907,0.0,0.0,0.0370638482698711,0.0014478065730418,0.0023164905168669,0.0041986390618213,0.0244679310844071,0.0,0.92283190965687,0.0023164905168669,0.0,0.0053568843202548,0.0,2019,-0.002312266267836,-0.0216897572398873,0.312598922886799,0.288411885499954,0.330519753748662,0.32614466547966,41645,41647
3,20,JHARKHAND,7,DEOGHAR,12,JARMUNDI,3,GODDA,2003,Pre delimitation,0.85810568964,0.02871604983,322744691.0,1376,3499,6,0,0,0,0,0,0,0,0,1424,0,4,0,0,1.20268697135913,1.11132836341858,-0.0075623302725897,0.0182548481971025,0.354715525440168,0.347019374370575,4881,0.716861298914157,0.0012292562999385,1428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971988795518208,0.0,0.0028011204481792,0.0,0.0,2019,0.085155688226223,0.0526702314600958,1.01603355527259,0.933101147413254,0.262487908373776,0.248732104897499,3393,3363
5,20,JHARKHAND,6,GIRIDIH,31,GANDEY,5,KODARMA,2005,Pre delimitation,1.4218972333,0.08374818757,942320152.0,1830,6837,1281,0,0,6,2,0,3,42,0,4043,44,12,0,0,1.47947528559759,0.901689827442169,0.027566626443449,0.0533416792750359,0.298975242591277,0.287976250052452,9948,0.6872738238841978,0.1287696019300362,4152,0.0,0.0,0.0014450867052023,0.0004816955684007,0.0,0.0007225433526011,0.0101156069364161,0.0,0.973747591522158,0.0105973025048169,0.0028901734104046,0.0,0.0,2019,0.0850912667810917,0.0543646313866857,1.33973815877035,0.760625511407852,0.230214809176071,0.216666631400585,11550,11554
3,20,JHARKHAND,7,DEOGHAR,13,MADHUPUR,3,GODDA,2003,Pre delimitation,1.46391818743,0.07315655973,822698517.0,3675,9004,57,0,0,0,0,0,0,6,0,3598,18,11,0,0,1.3489642489349,1.09925699234009,0.0284164999856449,0.0531906839460135,0.317591962142543,0.312034025788307,12736,0.7069723618090452,0.0044755025125628,3633,0.0,0.0,0.0,0.0,0.0,0.0,0.0016515276630883,0.0,0.9903660886319846,0.004954582989265,0.0030278007156619,0.0,0.0,2019,0.103887740522623,0.0755998408709641,1.14231999399884,0.907097220420837,0.238894601160802,0.227967783808708,3393,3363
5,20,JHARKHAND,5,KODARMA,20,BARKATHA,5,KODARMA,2005,Pre delimitation,0.85608296664,0.02167147992,243571051.0,2619,2492,58,0,0,5,0,0,3,69,0,1001,2,0,0,0,2.10118789044061,1.54154056310654,-0.0226228894400928,0.0082812951877713,0.352202995647722,0.344888269901276,5169,0.4821048558715419,0.0112207390210872,1080,0.0,0.0,0.0046296296296296,0.0,0.0,0.0027777777777777,0.0638888888888888,0.0,0.9268518518518518,0.0018518518518518,0.0,0.0,0.0,2019,0.07221669703722,0.0429929616933265,1.95354950341987,1.42463105916977,0.254260033448165,0.242420494556427,11550,11554
