OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
7,21,ORISSA,9,BHADRAK  *,44,BHADRAK,7,BHADRAK (SC),2107,,1.10921126598,0.02991867014,403951,5097,2894,12,5525,2454,6,0,0,0,0,0,0,0,0,0,0,1455,23,1,0,0,1.50396265380661,1.00536048412323,-0.0598903165338872,-0.0363590754568577,0.375077752777488,0.364671394228935,7985,0.3073262366938009,0.0007514088916718,1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9837728194726166,0.015551048005409,0.0006761325219743,0.0,0.0,2019,0.0722086131572723,0.0365390185332409,1.33355664408272,0.861506819725037,0.258748898436645,0.243488661944866,49389,47226
8,21,ORISSA,13,JAJAPUR  *,54,SUKINDA,8,JAJPUR (SC),2108,,1.79699040578,0.07448790052,982868,16374,19894,6511,6933,28579,5941,0,34,196,155,0,0,217,102,128,0,2706,22,110,2,14,3.60692520712826,1.05465048551559,-0.0475408612893759,-0.0124789969995618,0.343846033007701,0.329764038324356,41453,0.6894314042409476,0.1433189395218681,3686,0.0,0.0092240911557243,0.0531741725447639,0.0420510037981551,0.0,0.0,0.0588714053174172,0.027672273467173,0.0347259902333152,0.0,0.7341291372761801,0.005968529571351,0.0298426478567552,0.0005425935973955,0.0037981551817688,2019,0.032079353928566,-0.0028426035895356,3.92506402104755,1.08612358570099,0.305619012552225,0.288956582546234,41915,41339
3,21,ORISSA,15,ANUGUL  *,62,CHHENDIPADA (SC),3,SAMBALPUR,2103,,2.12662297611,0.09045617513,1226750,3637,10810,4298,2877,10521,3569,0,89,404,88,0,0,113,323,121,20,3001,23,307,0,4,1.46699440852556,0.577672839164734,-0.0918709929198915,-0.0698990896344185,0.418331693751239,0.411906689405441,16967,0.6200860493899923,0.2103495019744209,4493,0.0,0.019808591141776,0.0899176496772757,0.0195860227019808,0.0,0.0,0.0251502336968617,0.0718896060538615,0.0269307812152236,0.0044513687959047,0.6679278878255064,0.0051190741152904,0.0683285110171377,0.0,0.0008902737591809,2019,-0.0225611925125122,-0.0379629757559059,1.35533787152761,0.511699974536896,0.320475777675592,0.314842939376831,10411,10411
1,21,ORISSA,1,BARGARH  *,1,PADAMPUR,1,BARGARH,2101,,2.58174058039,0.1583645089,2156631,7188,14965,1699,4105,18259,1111,0,2,1008,73,0,0,34,20,121,0,6577,13,4,0,0,0.471133894038729,0.405195444822311,-0.0426433286363588,-0.0095641687512397,0.376146716152445,0.365305125713348,23475,0.7778061767838126,0.0473269435569755,7852,0.0,0.0002547121752419,0.1283749363219561,0.0092969943963321,0.0,0.0,0.0043301069791136,0.0025471217524197,0.0154100866021395,0.0,0.8376209882832399,0.0016556291390728,0.0005094243504839,0.0,0.0,2019,0.0263296440243721,-0.0050202045796258,0.360332344253771,0.284420594573021,0.358553912456375,0.345134496688843,31830,31830
10,21,ORISSA,23,SONAPUR  *,64,BIRMAHARAJPUR (SC),10,BOLANGIR,2110,,1.86132471504,0.11216300562,1433336,26336,57355,27341,6053,80515,23675,0,0,250,336,0,0,45,412,239,14,4092,0,97,48,26,0.561083846549862,0.479804575443268,-0.10851506009149,-0.0767488889396191,0.318008157624521,0.318325191736221,110243,0.7303411554475114,0.2147528641274275,5559,0.0,0.0,0.0449721172872818,0.0604425256341068,0.0,0.0,0.0080949811117107,0.0741140492894405,0.0429933441266414,0.0025184385680877,0.7361036157582299,0.0,0.0174491815074653,0.0086346465191581,0.0046771001978773,2019,-0.0374031998217106,-0.0754886001779693,0.44682821310913,0.368753224611282,0.347134084470129,0.349203512072563,109747,109940
9,21,ORISSA,15,ANUGUL  *,60,TALCHER,9,DHENKANAL,2109,,1.24943871083,0.03893406997,496825,6613,23630,9027,6015,19218,6035,0,0,26,4,0,0,22,92,166,5,1420,96,67,3,28,4.51872665462442,2.20229005813599,-0.0457885659655069,-0.0191306713968515,0.315878897122679,0.340503454208374,31268,0.6146219777408213,0.1930088269156965,1929,0.0,0.0,0.013478486262312,0.0020736132711249,0.0,0.0,0.0114048729911871,0.0476931052358735,0.0860549507516848,0.0025920165889061,0.736132711249352,0.0497667185069984,0.0347330222913426,0.0015552099533437,0.0145152928978745,2019,0.0025457227602601,-0.0168963156402213,4.02780893825831,1.96919441223145,0.241113546345463,0.26127290725708,199212,199174
10,21,ORISSA,23,SONAPUR  *,65,SONEPUR,10,BOLANGIR,2110,,2.39060772295,0.09324710828,1233717,17935,26975,5312,5164,37962,6351,0,0,141,0,0,0,11,20,30,0,4360,12,36,16,0,0.796442130351898,0.591622889041901,-0.0744857576589873,-0.0413758009672165,0.309113652402973,0.311286896467209,49477,0.7672655981567192,0.128362673565495,4626,0.0,0.0,0.0304798962386511,0.0,0.0,0.0,0.0023778642455685,0.0043233895373973,0.0064850843060959,0.0,0.9424989191526156,0.0025940337224383,0.0077821011673151,0.0034587116299178,0.0,2019,-0.0107497666031122,-0.0672223152968903,0.650888987954986,0.442643731832504,0.340024348087653,0.338915288448334,109747,109940
8,21,ORISSA,13,JAJAPUR  *,53,KOREI,8,JAJPUR (SC),2108,,1.22641997313,0.03531378736,459329,13961,10250,2694,10592,13093,2397,0,0,0,0,0,0,0,0,3,0,1734,8,0,0,2,1.68604173798353,1.0851189494133,-0.0124814804088085,0.0166262639686465,0.323395567538741,0.317327499389648,26082,0.5019937121386396,0.0919024614676788,1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001717229536348,0.0,0.9925586720091586,0.0045792787635947,0.0,0.0,0.0011448196908986,2019,0.0798265784978867,0.0342939864412449,1.64430746461752,1.09509855508804,0.262164711493935,0.238055385649204,41915,41339
7,21,ORISSA,9,BHADRAK  *,46,DHAMNAGAR (SC),7,BHADRAK (SC),2107,,1.26338372194,0.03126423328,313950,81802,34584,109,97524,17300,135,0,0,0,0,0,0,0,0,0,0,1550,0,0,0,0,0.826111698795424,0.744785010814667,-0.0867865505117665,-0.0636828169226646,0.399991532936012,0.387648075819016,114959,0.1504884350072634,0.0011743317182647,1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,0.0412909388542175,0.002588807383382,0.664262829320859,0.599433541297913,0.280594681872429,0.262474328279495,49389,47226
3,21,ORISSA,15,ANUGUL  *,63,ATHAMALLIK,3,SAMBALPUR,2103,,2.61138548172,0.22071648745,2967703,8472,45203,17702,1452,47810,16601,0,554,2964,1110,0,1,958,1428,169,14,3011,5,634,26,65,0.430640968510713,0.363735437393188,-0.143506502891145,-0.16029504686594,0.469877446801964,0.491275236010551,65863,0.7259007333404187,0.2520535050028089,10939,0.0,0.0506444830423256,0.2709571258798793,0.1014717981533961,0.0,9.141603437242891e-05,0.0875765609287869,0.1305420970838285,0.0154493098089404,0.001279824481214,0.2752536794953835,0.0004570801718621,0.0579577657921199,0.0023768168936831,0.0059420422342078,2019,-0.0986884012818336,-0.0948902221626043,0.347235723379477,0.273793816566467,0.421295714460777,0.428446143865585,10411,10411
