OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,NL_mean,NL_median,LC_SUM,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
6,10,BIHAR,5,MADHUBANI,35,Bisfi,6,MADHUBANI,1006,,0.99926878986,0.02407781426,282973,14365,34214,4,44235,2839,0,0,0,0,0,1,0,0,1165,27,0,0,0,-0.196648221856701,-0.193583615124226,0.453313148226772,0.459144875407219,47074,0.0603093002506691,0.0,1.4320353206730283,1.289120435714722,1193,0.0,0.0,0.0,0.0,0.0008382229673093,0.0,0.0,0.9765297569153396,0.0226320201173512,0.0,0.0,0.0,2018,-0.159457869827747,-0.1537938383668,1.213089752546414,1.089521646499634,0.364872617630027,0.370340615510941,49020,47361
8,10,BIHAR,6,SUPAUL *,44,Triveniganj (SC),8,SUPAUL,1008,,1.42655163474,0.03838471712,473849,53471,1197,0,53797,901,0,0,0,0,0,0,0,0,1898,0,8,0,0,-0.328559313600515,-0.35893526673317,0.576558089342259,0.607976377010345,54698,0.0164722658963764,0.0,1.080719894115572,1.0249063074588776,1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958027282266528,0.0,0.0041972717733473,0.0,0.0,2018,-0.236027076840401,-0.220114683440552,0.89712808739256,0.850857138633728,0.402599215332816,0.401582360267639,175749,175377
15,10,BIHAR,14,MUZAFFARPUR,89,Aurai,15,MUZAFFARPUR,1015,,1.18883633499,0.02937243035,246286,93847,64272,2,145873,12297,0,0,0,0,0,1,0,0,1444,0,8,0,2,-0.321822970713098,-0.346066981554031,0.537128599615877,0.563025951385498,158170,0.0777454637415439,0.0,1.019937647799076,0.9171804040670396,1455,0.0,0.0,0.0,0.0,0.0006872852233676,0.0,0.0,0.9924398625429554,0.0,0.0054982817869415,0.0,0.0013745704467353,2018,-0.253499776124954,-0.246004783383678,0.838561494303636,0.762827187776566,0.415459588000913,0.418008506298065,158703,152199
9,10,BIHAR,7,ARARIA,49,Araria,9,ARARIA,1009,,1.29317196468,0.03580496548,471965,4891,16128,0,13246,5597,1,0,0,0,0,13,0,0,1696,11,57,0,0,-0.254873476328815,-0.272110626101494,0.465894349167686,0.487411126494408,18844,0.2970176183400552,5.306728932286139e-05,1.171242728837817,0.948452174663544,1777,0.0,0.0,0.0,0.0,0.0073157006190208,0.0,0.0,0.9544175576814856,0.0061902082160945,0.0320765334833989,0.0,0.0,2018,-0.258001744747162,-0.224446449854856,1.026426233979491,0.79910945892334,0.400680211090389,0.415987804532051,17060,16917
6,10,BIHAR,5,MADHUBANI,36,Madhubani,6,MADHUBANI,1006,,0.87476319873,0.02136717346,285277,2985,5843,97,6956,2074,0,0,0,0,0,14,0,0,1015,23,1,0,0,-0.143435157634906,-0.138049229979515,0.408180488925476,0.415805771946907,9030,0.2296788482834994,0.0,1.86118570241825,1.4680248498916626,1053,0.0,0.0,0.0,0.0,0.0132953466286799,0.0,0.0,0.9639126305792972,0.0218423551756885,0.0009496676163342,0.0,0.0,2018,-0.114617839455605,-0.11530570611031,1.362330127591477,1.125726580619812,0.328107219585494,0.332205057144165,49020,47361
7,10,BIHAR,5,MADHUBANI,38,Jhanjharpur,7,JHANJHARPUR,1007,,1.29446659997,0.02941767595,329709,30864,44381,89,69754,7258,12,0,0,0,0,3,0,0,1423,27,0,0,5,-0.170215291061653,-0.165189981460571,0.422150593572277,0.428208231925964,77024,0.0942303697548816,0.0001557955961778,1.3613694739559454,1.1978811621665957,1458,0.0,0.0,0.0,0.0,0.0020576131687242,0.0,0.0,0.97599451303155,0.0185185185185185,0.0,0.0,0.0034293552812071,2018,-0.104862801730633,-0.105675567631167,1.06005241698762,0.963995099067688,0.315982019705613,0.318808019161224,25336,13183
16,10,BIHAR,14,MUZAFFARPUR,90,Minapur,16,VAISHALI,1016,,1.4530518992,0.02767959535,342223,18705,20163,6,34742,3451,4,0,0,0,0,11,0,0,1337,1,22,0,2,-0.300190038700111,-0.309336394071579,0.516544188237285,0.532924354076385,38197,0.09034740948242,0.0001047202659894,1.5950841109537175,1.5033299624919896,1373,0.0,0.0,0.0,0.0,0.0080116533139111,0.0,0.0,0.9737800436999272,0.0007283321194464,0.0160233066278222,0.0,0.0014566642388929,2018,-0.273304313421249,-0.260550209177858,1.189740574307761,1.101061046123505,0.397031569053898,0.408290535211563,40714,29016
8,10,BIHAR,6,SUPAUL *,42,Pipra,8,SUPAUL,1008,,1.55457129148,0.04410671597,523805,47563,33749,2228,44111,35983,1644,0,0,0,0,6,171,0,1976,0,4,13,19,-0.291762995306686,-0.324771970510483,0.510617046399803,0.551283836364746,81738,0.4402236413907852,0.0201130441165675,1.390253704487048,1.2996153235435486,2189,0.0,0.0,0.0,0.0,0.0027409776153494,0.07811786203746,0.0,0.9026952946550936,0.0,0.0018273184102329,0.0059387848332571,0.0086797624486066,2018,-0.180900856852531,-0.165634945406225,1.224971925499023,1.138422131538391,0.337974435570573,0.353203892707825,175749,175377
18,10,BIHAR,16,SIWAN,105,Siwan,18,SIWAN,1018,,0.85688070258,0.01543145582,201277,8003,3224,0,8591,298,0,0,0,0,0,11,0,0,711,44,1,0,0,-0.278136994880675,-0.297555893659592,0.498974128485931,0.526227116584778,8889,0.0335245809427382,0.0,2.400041366597252,1.848146319389343,767,0.0,0.0,0.0,0.0,0.014341590612777,0.0,0.0,0.9269882659713168,0.0573663624511082,0.0013037809647979,0.0,0.0,2018,-0.243422955274582,-0.227830165526626,2.008504777086582,1.616634607315063,0.385744430283595,0.399510681629181,8918,8869
18,10,BIHAR,16,SIWAN,110,Barharia,18,SIWAN,1018,,0.99334214464,0.0230885416,299971,9344,8610,0,11789,332,0,0,0,0,0,4,0,0,1126,10,1,0,0,-0.237108792224031,-0.246439561247826,0.466828727131637,0.481307923793793,12121,0.0273904793333883,0.0,1.9814367112171785,1.7997472882270809,1141,0.0,0.0,0.0,0.0,0.0035056967572304,0.0,0.0,0.9868536371603857,0.0087642418930762,0.0008764241893076,0.0,0.0,2018,-0.215431436896324,-0.206373881289056,1.598861086753107,1.395815014839172,0.389958781057438,0.400648504495621,8918,8869
