OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,NL_mean,NL_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
14,20,JHARKHAND,4,HAZARIBAG,22,BARKAGAON,14,HAZARIBAGH,2014,Pre delimitation,2.05548126598,0.10448482211,1179564769.0,3570,8973,6468,0,9,496,279,0,111,230,399,10,3497,101,25,0,9,-0.0567490295127717,-0.0331984087824821,0.32914686925229,0.315421104431152,1.10171481991397,0.322805881500244,19011,0.4719899005838724,0.340224080795329,5166,0.0,0.0017421602787456,0.0960123886953155,0.0540069686411149,0.0,0.0214866434378629,0.0445218737901664,0.0772357723577235,0.0019357336430507,0.6769260549748355,0.0195509097948122,0.0048393341076267,0.0,0.0017421602787456,2015,-0.0106424819678068,-0.0319822492308523,0.695830891783461,0.469037264585495,0.299727837154849,0.306260108947754,1449422,
6,20,JHARKHAND,13,BOKARO,34,GOMIA,6,GIRIDIH,2006,Pre delimitation,2.05019116553,0.09572144556,1080980832.0,8297,18184,38803,3,9,346,155,0,112,40,331,10,3519,89,1,32,103,-0.0209596282563727,0.0207255091518164,0.24659007590622,0.233402729034424,1.02632518938129,0.487139344215393,65284,0.2785368543594143,0.5943722811102261,4750,0.0006315789473684,0.0018947368421052,0.0728421052631578,0.0326315789473684,0.0,0.023578947368421,0.0084210526315789,0.0696842105263157,0.0021052631578947,0.7408421052631579,0.0187368421052631,0.0002105263157894,0.0067368421052631,0.0216842105263157,2015,0.066749170422554,0.0130254106568854,0.442621085206033,0.335915625095367,0.319896637594656,0.280046060681343,746702,
6,20,JHARKHAND,13,BOKARO,33,DUMRI,6,GIRIDIH,2006,Pre delimitation,0.98147297915,0.0334442873,377333421.0,476,854,0,0,0,55,2,0,3,0,39,0,1543,14,0,0,0,0.0186191816470419,0.0491070114076138,0.242876120175784,0.228785991668701,0.876080477361803,0.680391311645508,1330,0.6421052631578947,0.0,1656,0.0,0.0,0.0332125603864734,0.001207729468599,0.0,0.0018115942028985,0.0,0.0235507246376811,0.0,0.9317632850241546,0.0084541062801932,0.0,0.0,0.0,2015,0.066749170422554,0.0130254106568854,0.442621085206033,0.335915625095367,0.319896637594656,0.280046060681343,746702,
7,20,JHARKHAND,12,DHANBAD,38,SINDRI,7,DHANBAD,2007,Pre delimitation,1.23745694303,0.0486687229,549361673.0,6665,13401,5,0,0,0,0,0,0,0,140,0,2187,90,0,0,0,0.0208159937033177,0.0380583126097918,0.193013040546295,0.196209937334061,2.61959374344106,1.79303932189941,20071,0.6676797369338847,0.0002491156394798,2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579230450972279,0.0,0.9048407116259828,0.0372362432767894,0.0,0.0,0.0,2015,0.0343498326838017,0.0130649504353939,2.67769081721294,1.81711030006409,0.262585739764107,0.263414606451988,670130,
7,20,JHARKHAND,12,DHANBAD,39,NIRSA,7,DHANBAD,2007,Pre delimitation,0.88706272111,0.03748301508,423136677.0,9944,35116,22141,0,0,0,0,0,0,1,227,19,1383,147,0,24,54,-0.0016824353515957,0.0329523459076881,0.160041498135421,0.179506465792656,2.79413223081459,1.42983675003052,67201,0.5225517477418491,0.3294742637758366,1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0005390835579514,0.1223719676549865,0.0102425876010781,0.7455525606469002,0.0792452830188679,0.0,0.0129380053908355,0.02911051212938,2015,0.0343498326838017,0.0130649504353939,2.67769081721294,1.81711030006409,0.262585739764107,0.263414606451988,670130,
4,20,JHARKHAND,19,LATEHAR,73,MANIKA (ST),4,CHATRA,2004,Pre delimitation,2.78901934196,0.21484655684,,7807,10676,328,0,42,1854,2299,0,732,1956,528,0,3157,19,71,0,0,-0.100663515913279,-0.121824629604816,0.437131248836538,0.464358747005463,0.0876003824844801,0.0437434371560812,18811,0.5675402689915475,0.0174366062410291,10658,0.0,0.0039407018202289,0.173953837492963,0.2157065115406267,0.0,0.0686808031525614,0.1835241133420904,0.0495402514543066,0.0,0.296209420153875,0.0017826984424845,0.0066616626008632,0.0,0.0,2015,-0.0471214652061462,-0.053338639080314,0.177396298446759,0.151551693677902,0.290041200608863,0.286795228719711,2243219,
7,20,JHARKHAND,12,DHANBAD,40,DHANBAD,7,DHANBAD,2007,Pre delimitation,0.55165007212,0.01104985096,124743560.0,649,1876,4,0,0,0,0,0,0,1,50,0,209,294,0,0,0,0.0185976188812555,0.0294622834771872,0.146096911198123,0.160319164395332,9.84100097730972,9.51642513275146,2529,0.741795175958877,0.0015816528272044,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0018050541516245,0.0902527075812274,0.0,0.3772563176895306,0.5306859205776173,0.0,0.0,0.0,2015,0.0343498326838017,0.0130649504353939,2.67769081721294,1.81711030006409,0.262585739764107,0.263414606451988,670130,
6,20,JHARKHAND,12,DHANBAD,43,BAGHMARA,6,GIRIDIH,2006,Pre delimitation,0.57662976168,0.01896335451,214087849.0,1847,4186,39,0,0,0,0,0,0,0,149,0,598,192,0,0,0,0.0601553657330461,0.0762639045715332,0.175804627190901,0.186171509325504,5.00933006593087,3.35369515419006,6072,0.6893939393939394,0.0064229249011857,939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1586794462193823,0.0,0.6368477103301384,0.2044728434504792,0.0,0.0,0.0,2015,0.066749170422554,0.0130254106568854,0.442621085206033,0.335915625095367,0.319896637594656,0.280046060681343,746702,
6,20,JHARKHAND,13,BOKARO,35,BERMO,6,GIRIDIH,2006,Pre delimitation,1.58347701717,0.04045650553,457020545.0,2467,8569,829,0,0,15,0,0,1,3,158,0,1659,172,0,0,0,0.0174395762250578,0.035237617790699,0.184369835438865,0.190193563699722,2.89111853198381,1.25797045230865,11865,0.7222081753055204,0.0698693636746734,2008,0.0,0.0,0.0074701195219123,0.0,0.0,0.0004980079681274,0.0014940239043824,0.0786852589641434,0.0,0.826195219123506,0.0856573705179282,0.0,0.0,0.0,2015,0.066749170422554,0.0130254106568854,0.442621085206033,0.335915625095367,0.319896637594656,0.280046060681343,746702,
13,20,JHARKHAND,1,GARHWA,76,DALTONGANJ,13,PALAMU (SC),2013,Pre delimitation,1.17583729623,0.05456927147,616358794.0,1064,3757,69,0,1,632,532,0,112,657,119,0,591,0,58,0,0,-0.115221326314905,-0.13079422712326,0.440069975151761,0.463951110839844,0.0600628521923461,0.0561378821730614,4890,0.7683026584867075,0.0141104294478527,2702,0.0,0.0003700962250185,0.233900814211695,0.1968911917098445,0.0,0.0414507772020725,0.2431532198371576,0.044041450777202,0.0,0.2187268689859363,0.0,0.0214655810510732,0.0,0.0,2015,-0.0199219044297934,-0.0308818412364187,0.454141890481453,0.281835228204727,0.248523517565944,0.245184943079948,856888,
