OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,NL_mean,NL_median,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
5,21,ORISSA,7,MAYURBHANJ,28,RAIRANGPUR (ST),5,MAYURBHANJ (ST),2105,,1.57370127979,0.08237598859,1120206,5821,7452,743,7192,6330,413,0,3,139,223,0,0,91,54,56,0,3503,2,11,0,0,0.0491721424146944,0.0778203755617142,0.265573733149008,0.254380613565445,13935,0.4542518837459634,0.029637603157517,0.5696130888713771,0.4806599318981169,4082,0.0,0.0007349338559529,0.0340519353258206,0.0546300832925036,0.0,0.0,0.0222929936305732,0.0132288094071533,0.0137187653111219,0.0,0.8581577658010779,0.0004899559039686,0.0026947574718275,0.0,0.0,2015,0.0970421507954597,0.0642560527070379,0.488431671761807,0.367911398410797,0.279513494354754,0.260794967412949,1134222,
2,21,ORISSA,5,SUNDARGARH,8,TALSARA (ST),2,SUNDARGARH (ST),2102,,2.9003858872,0.15890645142,2167015,3143,15459,2386,5199,13116,2189,0,22,82,968,0,0,277,393,191,0,5794,0,136,0,0,0.0074690273520309,0.0352192148566246,0.291858707992975,0.280104458332062,20504,0.6396800624268435,0.1067596566523605,0.4469005736198255,0.3803681433200835,7863,0.0,0.0027979142820806,0.0104285895968459,0.1231082284115477,0.0,0.0,0.0352282843698334,0.049980923311713,0.0242909830853363,0.0,0.7368688795625079,0.0,0.0172961973801348,0.0,0.0,2015,0.0533424057066441,0.0243768823657875,0.329671070704016,0.259457290172577,0.295459709132903,0.28640028834343,2188003,
2,21,ORISSA,5,SUNDARGARH,10,BIRAMITRAPUR (ST),2,SUNDARGARH (ST),2102,,2.11010191711,0.10999923206,1453489,9364,37665,14075,12475,34314,13397,0,26,8,141,0,0,34,171,63,24,4881,20,45,10,21,0.0147266985667608,0.0401313006877899,0.244825445469631,0.241051986813545,60186,0.5701325889741801,0.2225932941215565,0.652804594041303,0.4637667834758755,5444,0.0,0.0047759000734753,0.0014695077149155,0.0259000734753857,0.0,0.0,0.0062454077883908,0.0314107274063188,0.0115723732549595,0.0044085231447465,0.8965833945628214,0.0036737692872887,0.0082659808963997,0.0018368846436443,0.0038574577516531,2015,0.0533424057066441,0.0243768823657875,0.329671070704016,0.259457290172577,0.295459709132903,0.28640028834343,2188003,
5,21,ORISSA,7,MAYURBHANJ,27,SARASKANA (ST),5,MAYURBHANJ (ST),2105,,2.49636031594,0.09499891628,1284938,3226,10018,9860,4949,11847,6119,0,34,236,355,0,0,386,108,112,6,3417,0,50,1,1,0.0146083793747411,0.0423709955066442,0.304403967604432,0.295978128910065,22915,0.5169975998254418,0.2670303294785075,0.552398993758209,0.4906460493803025,4706,0.0,0.0072248193795155,0.0501487462813429,0.0754356141096472,0.0,0.0,0.0820229494262643,0.0229494262643433,0.0237994050148746,0.0012749681257968,0.726094347641309,0.0,0.0106247343816404,0.0002124946876328,0.0002124946876328,2015,0.0970421507954597,0.0642560527070379,0.488431671761807,0.367911398410797,0.279513494354754,0.260794967412949,1134222,
2,21,ORISSA,5,SUNDARGARH,13,RAJGANGPUR (ST),2,SUNDARGARH (ST),2102,,1.86465454107,0.11130511905,1486573,5340,28335,12315,6765,25061,11043,0,23,313,233,0,0,193,63,797,18,3739,120,8,2,9,-0.0160810900556967,0.0087880846112966,0.255500991089275,0.245601281523705,42869,0.584594928736383,0.2575987310177517,0.855446141731633,0.4459301903843879,5518,0.0,0.0041681768756795,0.0567234505255527,0.0422254440014498,0.0,0.0,0.0349764407393983,0.011417180137731,0.1444363899963755,0.0032620514679231,0.677600579920261,0.0217470097861544,0.0014498006524102,0.0003624501631025,0.0016310257339615,2015,0.0533424057066441,0.0243768823657875,0.329671070704016,0.259457290172577,0.295459709132903,0.28640028834343,2188003,
2,21,ORISSA,5,SUNDARGARH,12,ROURKELA,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,69928,53,2476,439,457,2339,108,0,0,0,0,0,0,0,6,4,0,85,172,0,0,0,-0.0490023829471806,-0.048694770783186,0.234332030141673,0.234214887022972,2904,0.8054407713498623,0.0371900826446281,9.766133170330384,10.106570243835424,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224719101123595,0.0149812734082397,0.0,0.3183520599250936,0.6441947565543071,0.0,0.0,0.0,2015,0.0533424057066441,0.0243768823657875,0.329671070704016,0.259457290172577,0.295459709132903,0.28640028834343,2188003,
5,21,ORISSA,7,MAYURBHANJ,29,BANGRIPOSI (ST),5,MAYURBHANJ (ST),2105,,4.04802885141,0.19169015672,2626224,2961,9523,706,4885,6207,837,0,2998,284,1761,0,0,945,37,76,0,3209,11,181,0,9,-0.116194194523833,-0.144412882626057,0.419803149408036,0.428248196840286,11929,0.5203286109481097,0.0701651437672898,0.422384875365683,0.304225824773312,9511,0.0,0.315213962779939,0.0298601619177794,0.185154032173273,0.0,0.0,0.0993586373672589,0.0038902323625275,0.007990747555462,0.0,0.3373988013878666,0.0011565555672379,0.0190305961518242,0.0,0.000946272736831,2015,0.0970421507954597,0.0642560527070379,0.488431671761807,0.367911398410797,0.279513494354754,0.260794967412949,1134222,
2,21,ORISSA,5,SUNDARGARH,11,RAGHUNATHPALI (SC),2,SUNDARGARH (ST),2102,,0.81992426604,0.01803655969,242768,715,3789,1073,953,2993,822,0,46,6,50,0,0,61,117,33,0,429,148,0,0,0,-0.0429574320343247,-0.0329279713332653,0.239435268007037,0.247875154018402,4768,0.6277265100671141,0.1723993288590604,4.510579385774005,0.8644280582666395,890,0.0,0.0516853932584269,0.0067415730337078,0.0561797752808988,0.0,0.0,0.0685393258426966,0.1314606741573033,0.0370786516853932,0.0,0.4820224719101124,0.1662921348314607,0.0,0.0,0.0,2015,0.0533424057066441,0.0243768823657875,0.329671070704016,0.259457290172577,0.295459709132903,0.28640028834343,2188003,
5,21,ORISSA,7,MAYURBHANJ,26,JASHIPUR (ST),5,MAYURBHANJ (ST),2105,,3.42231329053,0.13163002864,1801015,4068,6369,924,4172,6280,739,0,794,20,1022,0,0,576,19,175,0,3871,0,32,0,0,-0.0266613514436393,0.014517383184284,0.337351429006161,0.317051649093628,11191,0.5611652220534358,0.0660352068626574,0.4385355057994254,0.3911245465278625,6509,0.0,0.1219849439237978,0.0030726686126901,0.1570133661084652,0.0,0.0,0.0884928560454755,0.0029190351820556,0.0268858503610385,0.0,0.594715009986173,0.0,0.0049162697803041,0.0,0.0,2015,0.0970421507954597,0.0642560527070379,0.488431671761807,0.367911398410797,0.279513494354754,0.260794967412949,1134222,
2,21,ORISSA,5,SUNDARGARH,9,SUNDARGARH (ST),2,SUNDARGARH (ST),2102,,2.86661590385,0.15852373909,2154364,5957,21552,910,8029,17154,384,0,18,322,834,0,0,464,205,1132,0,4822,14,48,0,0,-0.0017177271870301,0.0165505483746529,0.278963392436544,0.274970978498459,25567,0.6709430124770212,0.0150193608949035,0.9192182949968846,0.523511439561844,7859,0.0,0.0022903677312635,0.0409721338592696,0.106120371548543,0.0,0.0,0.059040590405904,0.0260847436060567,0.144038681766128,0.0,0.6135640666751495,0.001781397124316,0.0061076472833693,0.0,0.0,2015,0.0533424057066441,0.0243768823657875,0.329671070704016,0.259457290172577,0.295459709132903,0.28640028834343,2188003,
