OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
4,20,JHARKHAND,2,PALAMU,75,PANKI,4,CHATRA,2004,Pre delimitation,1.82395553183,0.09449767855,1064325353.0,9048,3751,32,0,0,827,1,0,3,466,117,0,3220,1,41,0,0,0.438547282616552,0.336084067821503,0.34277183420907,0.337000519037247,-0.0129475074560044,0.0030974921537563,12831,0.2923388668069519,0.0024939599407684,4676,0.0,0.0,0.1768605645851154,0.0002138579982891,0.0,0.0006415739948674,0.0996578272027373,0.0250213857998289,0.0,0.688622754491018,0.0002138579982891,0.0087681779298545,0.0,0.0,2018,-0.0076417629607021,-0.0173184949500243,0.443159544736776,0.353217720985413,0.357172458545717,0.357090935111046,9176,9175
6,20,JHARKHAND,6,GIRIDIH,32,GIRIDIH,6,GIRIDIH,2006,Pre delimitation,1.36318067438,0.05423537356,610830324.0,642,3263,17,0,50,167,73,0,42,7,15,0,2322,6,1,0,0,0.720873027696741,0.576628148555756,0.300108170835573,0.265144735574722,-0.0021139146362257,0.0476713087409735,3922,0.8319734829168791,0.0043345232024477,2683,0.0,0.0186358553857622,0.0622437569884457,0.0272083488632128,0.0,0.0156541185240402,0.0026090197540067,0.0055907566157286,0.0,0.8654491241147969,0.0022363026462914,0.0003727171077152,0.0,0.0,2018,0.0490943640470505,0.0029263493676121,0.712065626705207,0.578138917684555,0.311815939015135,0.279977321624756,3923,3923
13,20,JHARKHAND,1,GARHWA,80,GARHWA,13,PALAMU (SC),2013,Pre delimitation,2.30664502067,0.13270284465,1495635000.0,4403,10607,782,0,0,811,213,0,32,509,474,0,4480,29,23,0,0,0.379288757169935,0.267626732587814,0.360485375361573,0.357905179262161,-0.0306309338111597,-0.017321839928627,15792,0.6716691995947315,0.0495187436676798,6571,0.0,0.0,0.1234210926799573,0.0324151575102724,0.0,0.0048698828184446,0.0774615735808857,0.0721351392482118,0.0,0.6817835945822553,0.0044133313042154,0.0035002282757571,0.0,0.0,2018,-0.0037679482484236,-0.0221366151533524,0.428922588610732,0.294443875551224,0.367793326537349,0.361265048384666,41647,41647
14,20,JHARKHAND,4,HAZARIBAG,25,HAZARIBAGH,14,HAZARIBAGH,2014,Pre delimitation,1.50567825421,0.07028228989,791870015.0,1284,3584,1291,0,0,202,145,0,20,62,22,0,2949,68,19,2,0,1.51559973295368,0.723928719758987,0.320540143298058,0.304355353116989,-0.0056132135503497,0.0240835398435593,6159,0.5819126481571684,0.2096119499918818,3489,0.0,0.0,0.057896245342505,0.0415591860131842,0.0,0.0057323015190599,0.0177701347090856,0.0063055316709658,0.0,0.8452278589853827,0.0194898251648036,0.0054456864431069,0.0005732301519059,0.0,2018,0.006246127653867,-0.02171766130657,1.55134142881447,0.750889241695404,0.326121048538181,0.313233494758606,67095,67094
6,20,JHARKHAND,6,GIRIDIH,33,DUMRI,6,GIRIDIH,2006,Pre delimitation,1.13222343878,0.03919683405,441650711.0,536,3385,0,0,0,33,0,0,3,0,9,0,1897,0,3,0,0,0.707944469377514,0.545450985431671,0.26035444794153,0.243226885795593,0.051437585908702,0.0830516144633293,3921,0.8633001785258863,0.0,1945,0.0,0.0,0.0169665809768637,0.0,0.0,0.0015424164524421,0.0,0.0046272493573264,0.0,0.9753213367609256,0.0,0.0015424164524421,0.0,0.0,2018,0.0705744028091431,0.0410696350400342,0.703361831171234,0.540589332580566,0.2826289805612,0.269498944282532,3923,3923
2,20,JHARKHAND,20,JAMTARA,9,JAMTARA,2,DUMKA (ST),2002,Pre delimitation,1.49645593905,0.06449712712,726954692.0,3349,31622,19156,0,0,0,0,0,0,0,169,0,2932,29,2,16,44,1.05538789840251,0.836661726236343,0.221197113887529,0.224436089396477,0.0490265771687437,0.084751982241869,54127,0.584218597003344,0.3539084006133722,3192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529448621553884,0.0,0.918546365914787,0.0090852130325814,0.0006265664160401,0.0050125313283208,0.0137844611528822,2018,0.062725841999054,0.0241796462460469,1.06132500705005,0.841815769672394,0.229709687208565,0.242674238979816,2076,2075
2,20,JHARKHAND,20,JAMTARA,8,NALA,2,DUMKA (ST),2002,Pre delimitation,1.78268447748,0.08734140828,984609338.0,2472,4169,5,0,0,1,0,0,0,0,13,0,4319,0,0,0,0,0.576787828847214,0.531170696020126,0.25955199537007,0.251356333494186,0.0581226572834477,0.0818823650479317,6646,0.6272946133012338,0.0007523322299127,4333,0.0,0.0,0.0002307869836141,0.0,0.0,0.0,0.0,0.0030002307869836,0.0,0.9967689822294022,0.0,0.0,0.0,0.0,2018,0.0558147206902504,0.0354260747324144,0.601272539021792,0.549032419919968,0.268262318623791,0.260898917913437,2076,2075
2,20,JHARKHAND,20,JAMTARA,14,SARATH,2,DUMKA (ST),2002,Pre delimitation,0.50514972243,0.00880894422,99231572.0,229,842,2,0,0,0,0,0,0,0,0,0,437,0,0,0,0,1.17131527778746,1.01800107955933,0.239267698314928,0.230896607041359,0.0687305274671828,0.0965244919061661,1073,0.7847157502329916,0.0018639328984156,437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,0.0764521509408951,0.0517473859274177,1.20975477339207,1.05478048324585,0.259594867928494,0.251252740621567,2076,2075
14,20,JHARKHAND,4,HAZARIBAG,24,MANDU,14,HAZARIBAGH,2014,Pre delimitation,2.5773603641,0.12479573744,1407804313.0,3403,14015,10116,0,0,465,186,0,68,40,277,0,4983,116,1,18,20,1.50104559971928,0.706212401390076,0.276343305992065,0.26304218173027,-0.0075539272682615,0.0177647098898888,27534,0.5090070458342413,0.3674003050773589,6174,0.0,0.0,0.075315840621963,0.0301263362487852,0.0,0.0110139293812763,0.006478781988986,0.0448655652737285,0.0,0.8070942662779398,0.0187884677680596,0.0001619695497246,0.0029154518950437,0.003239390994493,2018,0.0114358495920897,-0.0224128078153664,1.63759048751752,0.786263227462769,0.279635913208642,0.267681211233139,67095,67094
6,20,JHARKHAND,12,DHANBAD,32,GIRIDIH,6,GIRIDIH,2006,Pre delimitation,0.29101475655,0.00329338717,37103998.0,78,1118,4,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0.820484306501306,0.794648885726929,0.218861651896325,0.213129416108131,0.0667035920545744,0.0950044430792332,1200,0.9316666666666666,0.0033333333333333,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,0.0778245404362679,0.0560383423264713,0.775419378502769,0.754141926765442,0.237164824703858,0.236279875040054,3923,3923
