OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
3,19,WEST BENGAL,3,KOCH BIHAR,1,MEKLIGANJ (SC),3,JALPAIGURI (SC),1903,,3.64651622582,0.04691936236,45915,54079,2162,0,0,0,0,0,230,27,0,916,0,1113,35,4,1.03541799700127,0.711111664772034,0.296451878237777,0.307186603546143,-0.0963674267578429,-0.0987974889576435,102156,0.529376639649164,0.0211637104036963,2325,0.0,0.0,0.0,0.0,0.0,0.0989247311827957,0.0116129032258064,0.0,0.3939784946236559,0.0,0.4787096774193548,0.0150537634408602,0.0017204301075268,2017,-0.0742398276925087,-0.0761720298255511,0.976918378207708,0.655423521995544,0.290171930778569,0.30104649066925,102116,102156
1,19,WEST BENGAL,3,KOCH BIHAR,2,MATHABHANGA (SC),1,COOCHBEHAR (SC),1901,,1.32905669747,0.03310685903,36157,32037,3898,0,0,0,0,0,231,15,0,407,27,957,4,5,0.672730603164984,0.567729711532593,0.317004310905802,0.329415947198868,-0.133818773578327,-0.134631559252739,72092,0.4443905010264661,0.0540697997003828,1646,0.0,0.0,0.0,0.0,0.0,0.1403402187120291,0.0091130012150668,0.0,0.2472660996354799,0.0164034021871202,0.5814094775212637,0.0024301336573511,0.0030376670716889,2017,-0.117366805672646,-0.113292939035829,0.645440041382477,0.561675071716309,0.276354967237018,0.288827836513519,71763,71641
1,19,WEST BENGAL,3,KOCH BIHAR,3,COOCHBEHAR UTTAR (SC),1,COOCHBEHAR (SC),1901,,1.12302849062,0.03483544778,29369,14820,1303,0,2,3,0,0,137,0,0,420,19,1135,0,4,1.00643914222234,0.659967571496964,0.364036295114351,0.369476348161697,-0.130625588923587,-0.127083167433739,45492,0.3257715642310736,0.0286423986635012,1720,0.0,0.0011627906976744,0.0017441860465116,0.0,0.0,0.0796511627906976,0.0,0.0,0.2441860465116279,0.0110465116279069,0.6598837209302325,0.0,0.0023255813953488,2017,-0.117438711225986,-0.113236264250368,0.885844963102567,0.57657253742218,0.316187062473226,0.326331555843353,71763,71641
1,19,WEST BENGAL,3,KOCH BIHAR,4,COOCHBEHAR DAKSHIN,1,COOCHBEHAR (SC),1901,,0.86103586852,0.02355507449,9722,10145,1195,0,0,0,0,0,83,0,0,247,32,798,0,3,1.05708197569014,0.573047876358032,0.312310885217713,0.316729009151459,-0.153862810038057,-0.14355506002903,21062,0.4816731554458266,0.0567372519228943,1163,0.0,0.0,0.0,0.0,0.0,0.0713671539122957,0.0,0.0,0.2123817712811694,0.0275150472914875,0.6861564918314703,0.0,0.0025795356835769,2017,-0.12808883190155,-0.133577419604329,0.939389794887229,0.507560759782791,0.273149593807654,0.279571771621704,71763,71641
1,19,WEST BENGAL,3,KOCH BIHAR,5,SITALKUCHI (SC),1,COOCHBEHAR (SC),1901,,1.85827798495,0.04601088174,9452,10619,374,0,0,0,0,0,31,3,0,642,0,1603,4,0,0.85235781760458,0.702435880899429,0.392322439560959,0.398133188486099,-0.206449427696544,-0.206888630986214,20445,0.5193934947419907,0.0182929811689899,2283,0.0,0.0,0.0,0.0,0.0,0.0135786246167323,0.0013140604467805,0.0,0.2812089356110381,0.0,0.7021462987297415,0.0017520805957074,0.0,2017,-0.172427922487259,-0.170813623056984,0.833914523403062,0.684173911809921,0.346167245316123,0.352190941572189,71763,71641
1,19,WEST BENGAL,3,KOCH BIHAR,6,SITAI (SC),1,COOCHBEHAR (SC),1901,,1.3080772431,0.03807337344,27355,32970,2073,0,0,0,0,0,170,3,0,631,18,1068,1,2,0.832275563500878,0.643897831439972,0.343559453145758,0.353596121072769,-0.209503683600519,-0.209441050887108,62398,0.5283823199461521,0.0332222186608545,1893,0.0,0.0,0.0,0.0,0.0,0.0898045430533544,0.0015847860538827,0.0,0.3333333333333333,0.0095087163232963,0.5641838351822503,0.0005282620179609,0.0010565240359218,2017,-0.15196530520916,-0.156410489364877,0.753700204265617,0.592234402894974,0.299353548687562,0.309260860085487,71763,71641
1,19,WEST BENGAL,3,KOCH BIHAR,7,DINHATA,1,COOCHBEHAR (SC),1901,,1.65021744915,0.02631610303,3994,5038,0,0,0,0,0,0,26,0,0,534,0,742,0,0,1.06190135628104,0.758189260959625,0.267955819082324,0.274243593215942,-0.194332114210156,-0.174930721521378,9032,0.5577945084145262,0.0,1302,0.0,0.0,0.0,0.0,0.0,0.0199692780337941,0.0,0.0,0.4101382488479262,0.0,0.5698924731182796,0.0,0.0,2017,-0.15600597858429,-0.166950188945875,0.840616203205243,0.64738667011261,0.282168959455164,0.286902904510498,71763,71641
1,19,WEST BENGAL,3,KOCH BIHAR,8,NATABARI,1,COOCHBEHAR (SC),1901,,1.16263255151,0.02797972586,28034,20263,1305,0,0,0,0,0,188,0,0,241,1,949,0,9,0.773157293332278,0.60642397403717,0.300755913647916,0.310994580388069,-0.147041370757241,-0.13889691978693,49602,0.4085117535583242,0.0263094230071368,1388,0.0,0.0,0.0,0.0,0.0,0.1354466858789625,0.0,0.0,0.1736311239193083,0.0007204610951008,0.6837175792507204,0.0,0.0064841498559077,2017,-0.138299390673637,-0.143262870277427,0.642829184931827,0.517298579216003,0.279239328118043,0.289781451225281,71763,71641
2,19,WEST BENGAL,3,KOCH BIHAR,9,TUFANGANJ,2,ALIPURDUARS (ST),1902,,1.90810309197,0.0331308333,32628,17061,2300,0,0,15,2,0,115,0,0,133,6,1365,0,4,0.625366189681978,0.486903548240662,0.314189230945448,0.329309463500977,-0.0862396891456209,-0.0788266099989414,51989,0.3281655734866991,0.0442401277193252,1640,0.0,0.0,0.0091463414634146,0.0012195121951219,0.0,0.0701219512195122,0.0,0.0,0.0810975609756097,0.0036585365853658,0.8323170731707317,0.0,0.0024390243902439,2017,-0.0812324732542038,-0.0881317803293712,0.53512329367591,0.427106693387032,0.281682340335027,0.293769836425781,51943,51798
2,19,WEST BENGAL,2,JALPAIGURI,10,KUMARGRAM (ST),2,ALIPURDUARS (ST),1902,,1.65815350938,0.06226488697,26100,15979,526,0,266,90,172,17,821,52,0,386,11,1270,0,0,0.445650642268604,0.404504865407944,0.359948195155771,0.364551395177841,-0.0706413477738435,-0.0609654821455479,42605,0.3750498767750264,0.0123459687830066,3085,0.0,0.086223662884927,0.0291734197730956,0.0557536466774716,0.0055105348460291,0.2661264181523501,0.0168557536466774,0.0,0.1251215559157212,0.0035656401944894,0.4116693679092382,0.0,0.0,2017,-0.0505224913358688,-0.0588538222980452,0.39447691030304,0.35468253493309,0.31639104622079,0.318775475025177,51943,51798
