OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NL_mean,NL_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_3_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
5,21,ORISSA,7,MAYURBHANJ,28,RAIRANGPUR (ST),5,MAYURBHANJ (ST),2105,,1.57370127979,0.08237598859,1120206,5821,7452,743,3118,9976,728,0,7,0,134,262,0,0,40,52,48,0,3526,2,11,0,0,0.0422556934633771,0.0723386742174625,0.577135635038673,0.492067158222198,0.293947782798007,0.279631942510605,13822,0.7217479380697439,0.0526696570684416,4082,0.0,0.0017148456638902,0.0,0.032827045565899,0.0641842234198922,0.0,0.0,0.0097991180793728,0.0127388535031847,0.0117589416952474,0.0,0.8637922586967173,0.0004899559039686,0.0026947574718275,0.0,0.0,2017,0.0862981677055359,0.0525567300603488,0.562090542704081,0.469252705574036,0.283762060708404,0.266334742307663,13907,13935
2,21,ORISSA,5,SUNDARGARH,8,TALSARA (ST),2,SUNDARGARH (ST),2102,,2.9003858872,0.15890645142,2167015,3143,15459,2386,3296,14464,2742,0,19,0,115,1015,0,0,193,291,195,0,5950,0,85,0,0,-0.0184187989379448,0.0186458509415388,0.454997759136314,0.377794355154037,0.347399004418218,0.321943312883377,20502,0.7054921471075992,0.1337430494585894,7863,0.0,0.0024163805163423,0.0,0.0146254610199669,0.1290855907414473,0.0,0.0,0.0245453389291618,0.0370087752766119,0.0247996947729874,0.0,0.7567086353808978,0.0,0.0108101233625842,0.0,0.0,2017,0.0445820055902004,0.0162161619451693,0.438803388103337,0.38294193148613,0.304421742694535,0.293116450309753,20508,20504
2,21,ORISSA,5,SUNDARGARH,10,BIRAMITRAPUR (ST),2,SUNDARGARH (ST),2102,,2.11010191711,0.10999923206,1453489,9364,37665,14075,6441,37907,15830,0,17,0,14,162,0,0,12,179,54,25,4885,20,46,10,20,-0.0024609469328355,0.0231630615890026,0.659073591467946,0.47710907459259,0.259782261275086,0.257481336593628,60178,0.629914586726046,0.2630529429359566,5444,0.0,0.0031227038941954,0.0,0.0025716385011021,0.0297575312270389,0.0,0.0,0.0022042615723732,0.0328802351212343,0.0099191770756796,0.0045922116091109,0.8973181484202792,0.0036737692872887,0.0084496693607641,0.0018368846436443,0.0036737692872887,2017,0.0364484675228596,0.0059927626075781,0.64653559661466,0.450424492359161,0.260680711778006,0.254058569669724,20508,20504
5,21,ORISSA,7,MAYURBHANJ,27,SARASKANA (ST),5,MAYURBHANJ (ST),2105,,2.49636031594,0.09499891628,1284938,3226,10018,9860,2270,11796,8845,0,25,0,268,444,0,0,301,96,87,16,3423,0,44,1,1,0.0171277616432832,0.0535101741552353,0.554327609344509,0.496104210615158,0.307212881856932,0.292589917778969,22911,0.5148618567500327,0.386059098249749,4706,0.0,0.0053123671908202,0.0,0.0569485762855928,0.0943476413089672,0.0,0.0,0.0639609009774755,0.0203994900127496,0.0184870378240544,0.0033999150021249,0.7273693157671058,0.0,0.0093497662558436,0.0002124946876328,0.0002124946876328,2017,0.0574378501623869,0.0239821422182591,0.550470378171909,0.485187888145447,0.312057061189262,0.293332010507584,13907,13935
2,21,ORISSA,5,SUNDARGARH,13,RAJGANGPUR (ST),2,SUNDARGARH (ST),2102,,1.86465454107,0.11130511905,1486573,5340,28335,12315,4115,27076,11677,0,21,0,381,222,0,0,135,72,762,24,3767,120,4,0,10,-0.0409207491829357,-0.0160029791295528,0.891638538683765,0.452840819954872,0.27244092591078,0.261582255363464,42868,0.6316133246244284,0.2723943267705515,5518,0.0,0.003805726712577,0.0,0.0690467560710402,0.0402319681043856,0.0,0.0,0.0244653860094237,0.0130482058716926,0.1380935121420804,0.0043494019572308,0.682674882203697,0.0217470097861544,0.0007249003262051,0.0,0.0018122508155128,2017,0.0071701472625136,-0.0121419544971,0.819253744779501,0.439019560813904,0.244462332169025,0.24091163277626,20508,20504
2,21,ORISSA,5,SUNDARGARH,12,ROURKELA,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,69928,53,2476,439,115,2611,178,0,0,0,0,0,0,0,0,10,4,0,81,172,0,0,0,-0.0230480843460879,-0.0224462673068047,9.88549869124954,10.4445886611938,0.220295502153669,0.221829824149609,2904,0.8991046831955923,0.0612947658402203,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374531835205992,0.0149812734082397,0.0,0.3033707865168539,0.6441947565543071,0.0,0.0,0.0,2017,-0.0193380145356059,-0.0209971458386106,9.64676764941123,9.76855182647705,0.238309643084936,0.236614361405373,20508,20504
5,21,ORISSA,7,MAYURBHANJ,29,BANGRIPOSI (ST),5,MAYURBHANJ (ST),2105,,4.04802885141,0.19169015672,2626224,2961,9523,706,1671,9444,814,0,3058,0,340,1728,0,0,896,37,76,2,3157,11,197,0,9,-0.103533449821329,-0.12638983130455,0.412902024163556,0.293201178312302,0.420100512636535,0.43060165643692,11929,0.791684131109062,0.0682370693268505,9511,0.0,0.3215224476921459,0.0,0.0357480811691725,0.1816843654715592,0.0,0.0,0.0942067080222899,0.0038902323625275,0.007990747555462,0.0002102828304068,0.3319314477972873,0.0011565555672379,0.0207128587950793,0.0,0.000946272736831,2017,-0.117122184485197,-0.0955797927877824,0.43186772656781,0.315250471234322,0.410086450092995,0.42189359664917,13907,13935
2,21,ORISSA,5,SUNDARGARH,11,RAGHUNATHPALI (SC),2,SUNDARGARH (ST),2102,,0.81992426604,0.01803655969,242768,715,3789,1073,699,3396,673,0,27,0,28,58,0,0,29,142,31,0,427,148,0,0,0,-0.0467454430562688,-0.0329656526446342,4.71395983003908,0.836835891008377,0.251194610462677,0.244732961058617,4768,0.712248322147651,0.1411493288590604,890,0.0,0.0303370786516853,0.0,0.0314606741573033,0.0651685393258427,0.0,0.0,0.0325842696629213,0.1595505617977528,0.0348314606741573,0.0,0.4797752808988764,0.1662921348314607,0.0,0.0,0.0,2017,-0.0395194441080093,-0.0564367094472549,4.30719894150893,0.892020225524902,0.27088750007391,0.252011060714722,20508,20504
5,21,ORISSA,7,MAYURBHANJ,26,JASHIPUR (ST),5,MAYURBHANJ (ST),2105,,3.42231329053,0.13163002864,1801015,4068,6369,924,2187,7980,1019,0,816,0,24,1056,0,0,501,19,144,0,3912,0,37,0,0,-0.0191904538952873,0.0318060945719481,0.434245833195459,0.391460716724396,0.346095591987744,0.315039440989494,11186,0.7133917396745932,0.0910960128732344,6509,0.0,0.1253648793977569,0.0,0.0036872023352281,0.1622369027500384,0.0,0.0,0.0769703487478875,0.0029190351820556,0.0221232140113688,0.0,0.6010139806421877,0.0,0.0056844369334767,0.0,0.0,2017,0.0326323769986629,-0.0177478752320915,0.442825178403392,0.390788376331329,0.359778100909655,0.325549528002739,13907,13935
2,21,ORISSA,5,SUNDARGARH,9,SUNDARGARH (ST),2,SUNDARGARH (ST),2102,,2.86661590385,0.15852373909,2154364,5957,21552,910,5634,19274,658,0,19,0,348,826,0,0,295,159,1261,0,4903,14,34,0,0,-0.0104979791020974,0.0117667661979795,0.94716432241404,0.5340656042099,0.334028995297006,0.322598457336426,25566,0.7538918876633028,0.0257373073613392,7859,0.0,0.0024176103830003,0.0,0.044280442804428,0.1051024303346481,0.0,0.0,0.0375365822623743,0.020231581626161,0.1604529838401832,0.0,0.6238707214658353,0.001781397124316,0.0043262501590533,0.0,0.0,2017,0.0404384806752205,0.0241773658302497,0.891272267579729,0.512957274913788,0.280579439474034,0.277520090341568,20508,20504
